tourney_date,tourney_name,surface,tourney_level,round,winner_name,loser_name,winner_rank,loser_rank,score,winner_age,loser_age,w_ace,l_ace,w_df,l_df,w_svpt,l_svpt,w_1stIn,l_1stIn,w_1stWon,l_1stWon,w_2ndWon,l_2ndWon,w_SvGms,l_SvGms,w_bpSaved,l_bpSaved,w_bpFaced,l_bpFaced
20260104,Brisbane International,Hard,A,R128,Tiafoe F.,Vukic A.,30.0,87.0,6-2 6-2,,,,,,,,,,,,,,,,,,,,
20260104,Brisbane International,Hard,A,R128,Tien L.,Ugo Carabelli C.,26.0,48.0,7-6 6-3,,,,,,,,,,,,,,,,,,,,
20260105,Brisbane International,Hard,A,R128,Korda S.,Vacherot V.,46.0,31.0,7-6 6-3,,,,,,,,,,,,,,,,,,,,
20260105,Brisbane International,Hard,A,R128,Michelsen A.,Duckworth J.,37.0,86.0,6-7 7-6 6-3,,,,,,,,,,,,,,,,,,,,
20260105,Brisbane International,Hard,A,R128,Lehecka J.,Machac T.,19.0,35.0,6-4 6-7 6-2,,,,,,,,,,,,,,,,,,,,
20260105,Brisbane International,Hard,A,R128,Majchrzak K.,Altmaier D.,59.0,44.0,7-6 6-0,,,,,,,,,,,,,,,,,,,,
20260105,Brisbane International,Hard,A,R128,Halys Q.,Popyrin A.,91.0,50.0,5-7 6-3 6-4,,,,,,,,,,,,,,,,,,,,
20260105,Brisbane International,Hard,A,R128,Opelka R.,Sweeny D.,60.0,183.0,6-3 7-5,,,,,,,,,,,,,,,,,,,,
20260105,Brisbane International,Hard,A,R128,Medvedev D.,Fucsovics M.,13.0,54.0,6-2 6-3,,,,,,,,,,,,,,,,,,,,
20260106,Brisbane International,Hard,A,R128,Collignon R.,Shapovalov D.,84.0,23.0,6-4 6-2,,,,,,,,,,,,,,,,,,,,
20260106,Brisbane International,Hard,A,R128,Nakashima B.,Davidovich Fokina A.,33.0,14.0,7-6 6-4,,,,,,,,,,,,,,,,,,,,
20260106,Brisbane International,Hard,A,R128,Mpetshi G.,Paul T.,67.0,20.0,7-6 3-6 7-6,,,,,,,,,,,,,,,,,,,,
20260106,Brisbane International,Hard,A,R128,Kovacevic A.,Kyrgios N.,58.0,670.0,6-3 6-4,,,,,,,,,,,,,,,,,,,,
20260106,Brisbane International,Hard,A,R128,Norrie C.,Humbert U.,28.0,36.0,1-6 7-6 7-5,,,,,,,,,,,,,,,,,,,,
20260106,Brisbane International,Hard,A,R128,Hijikata R.,Walton A.,111.0,77.0,6-3 6-2,,,,,,,,,,,,,,,,,,,,
20260106,Brisbane International,Hard,A,R128,Dimitrov G.,Carreno Busta P.,47.0,92.0,6-3 6-2,,,,,,,,,,,,,,,,,,,,
20260107,Brisbane International,Hard,A,R64,Michelsen A.,Tien L.,37.0,26.0,6-4 6-2,,,,,,,,,,,,,,,,,,,,
20260107,Brisbane International,Hard,A,R64,Medvedev D.,Tiafoe F.,13.0,30.0,6-3 6-2,,,,,,,,,,,,,,,,,,,,
20260107,Brisbane International,Hard,A,R64,Korda S.,Lehecka J.,46.0,19.0,6-3 1-2,,,,,,,,,,,,,,,,,,,,
20260107,Brisbane International,Hard,A,R64,Majchrzak K.,Opelka R.,59.0,60.0,6-7 7-6 7-6,,,,,,,,,,,,,,,,,,,,
20260108,Brisbane International,Hard,A,R64,Kovacevic A.,Norrie C.,58.0,28.0,7-6 4-6 6-4,,,,,,,,,,,,,,,,,,,,
20260108,Brisbane International,Hard,A,R64,Nakashima B.,Halys Q.,33.0,91.0,6-2 6-4,,,,,,,,,,,,,,,,,,,,
20260108,Brisbane International,Hard,A,R64,Mpetshi G.,Hijikata R.,67.0,111.0,4-6 7-6 7-6,,,,,,,,,,,,,,,,,,,,
20260108,Brisbane International,Hard,A,R64,Collignon R.,Dimitrov G.,84.0,47.0,7-6 6-3,,,,,,,,,,,,,,,,,,,,
20260109,Brisbane International,Hard,A,QF,Kovacevic A.,Mpetshi G.,58.0,67.0,7-6 4-6 6-3,,,,,,,,,,,,,,,,,,,,
20260109,Brisbane International,Hard,A,QF,Nakashima B.,Collignon R.,33.0,84.0,6-3 6-3,,,,,,,,,,,,,,,,,,,,
20260109,Brisbane International,Hard,A,QF,Michelsen A.,Korda S.,37.0,46.0,6-3 7-6,,,,,,,,,,,,,,,,,,,,
20260109,Brisbane International,Hard,A,QF,Medvedev D.,Majchrzak K.,13.0,59.0,6-7 6-3 6-2,,,,,,,,,,,,,,,,,,,,
20260110,Brisbane International,Hard,A,SF,Nakashima B.,Kovacevic A.,33.0,58.0,7-6 6-4,,,,,,,,,,,,,,,,,,,,
20260110,Brisbane International,Hard,A,SF,Medvedev D.,Michelsen A.,13.0,37.0,6-4 6-2,,,,,,,,,,,,,,,,,,,,
20260111,Brisbane International,Hard,A,F,Medvedev D.,Nakashima B.,13.0,33.0,6-2 7-6,,,,,,,,,,,,,,,,,,,,
20260105,Hong Kong Tennis Open,Hard,A,R128,Borges N.,Dzumhur D.,45.0,65.0,6-4 6-3,,,,,,,,,,,,,,,,,,,,
