bucket,n,predicted,actual,gap
"[0.5, 0.55)",1727,0.5242514362373117,0.5385060799073538,0.014254643670042033
"[0.55, 0.6)",1425,0.5745378829351091,0.5691228070175438,-0.005415075917565293
"[0.6, 0.65)",1143,0.6239165262274367,0.6194225721784777,-0.004493954048958915
"[0.65, 0.7)",854,0.6728435178538287,0.6967213114754098,0.023877793621581156
"[0.7, 0.75)",658,0.7232685139283966,0.7310030395136778,0.0077345255852812045
"[0.75, 0.8)",467,0.7739853866676112,0.7794432548179872,0.005457868150375966
"[0.8, 0.85)",267,0.823750121607987,0.8838951310861424,0.060145009478155376
"[0.85, 0.9)",165,0.8725561553493625,0.8727272727272727,0.00017111737791020154
"[0.9, 0.95)",81,0.9205730496402469,0.9259259259259259,0.005352876285679042
"[0.95, 1.0)",22,0.95,0.9545454545454546,0.00454545454545463
