bucket,n,predicted,actual,gap
"[0.5, 0.55)",1397,0.5246397874806172,0.5325697924123121,0.007930004931694823
"[0.55, 0.6)",1273,0.574656409402735,0.5483110761979576,-0.026345333204777388
"[0.6, 0.65)",1127,0.623752598061236,0.5874001774622892,-0.03635242059894672
"[0.65, 0.7)",918,0.6741038450311229,0.6546840958605664,-0.019419749170556444
"[0.7, 0.75)",744,0.7238784302804763,0.7056451612903226,-0.01823326899015365
"[0.75, 0.8)",552,0.7743593168096604,0.7572463768115942,-0.01711293999806618
"[0.8, 0.85)",363,0.8217430630635072,0.8154269972451791,-0.006316065818328109
"[0.85, 0.9)",241,0.8715085862706369,0.8838174273858921,0.012308841115255209
"[0.9, 0.95)",140,0.9216461192654669,0.8928571428571429,-0.028788976408324007
"[0.95, 1.0)",54,0.9633411423159672,0.9629629629629629,-0.0003781793530043265
