bucket,n,predicted,actual,gap
"[0.5, 0.55)",875,0.5258952688649449,0.5097142857142857,-0.01618098315065919
"[0.55, 0.6)",994,0.5746287461624603,0.5633802816901409,-0.01124846447231942
"[0.6, 0.65)",848,0.6242764738677755,0.5495283018867925,-0.07474817198098305
"[0.65, 0.7)",819,0.67408248258427,0.5970695970695971,-0.07701288551467289
"[0.7, 0.75)",719,0.7252159669124475,0.6300417246175244,-0.0951742422949231
"[0.75, 0.8)",718,0.7749733770385888,0.6880222841225627,-0.0869510929160261
"[0.8, 0.85)",630,0.824589842915087,0.726984126984127,-0.09760571593096001
"[0.85, 0.9)",534,0.873739950745801,0.7378277153558053,-0.13591223538999575
"[0.9, 0.95)",442,0.9237004016216334,0.7941176470588235,-0.12958275456280988
"[0.95, 1.0)",230,0.9671092698448223,0.908695652173913,-0.058413617670909246
