bucket,n,predicted,actual,gap
"[0.5, 0.55)",1867,0.5244132652412816,0.535083020889127,0.010669755647845336
"[0.55, 0.6)",1459,0.5737219326987498,0.5675119945167924,-0.006209938181957475
"[0.6, 0.65)",1127,0.623666151471317,0.6193433895297249,-0.00432276194159209
"[0.65, 0.7)",867,0.6738412430632454,0.6724336793540946,-0.0014075637091508497
"[0.7, 0.75)",607,0.7232566297884503,0.71499176276771,-0.008264867020740252
"[0.75, 0.8)",417,0.7730633806139411,0.7937649880095923,0.02070160739565119
"[0.8, 0.85)",248,0.8219172532745468,0.8669354838709677,0.04501823059642096
"[0.85, 0.9)",139,0.871008220810596,0.8561151079136691,-0.014893112896926963
"[0.9, 0.95)",65,0.9238452506085828,0.9384615384615385,0.014616287852955656
"[0.95, 1.0)",13,0.9621209507112607,1.0,0.03787904928873931
