bucket,n,predicted,actual,gap
"[0.5, 0.55)",1590,0.5245325602907711,0.5471698113207547,0.022637251029983596
"[0.55, 0.6)",1449,0.5742714012641725,0.5659075224292616,-0.008363878834910965
"[0.6, 0.65)",1077,0.6233779024024455,0.6220984215413184,-0.001279480861127058
"[0.65, 0.7)",879,0.6738702238043234,0.6814562002275313,0.0075859764232079074
"[0.7, 0.75)",705,0.7238898717747357,0.7347517730496453,0.010861901274909602
"[0.75, 0.8)",497,0.7742228165763336,0.7927565392354124,0.018533722659078822
"[0.8, 0.85)",293,0.82236401985049,0.8361774744027304,0.013813454552240367
"[0.85, 0.9)",198,0.8727717344825643,0.8787878787878788,0.006016144305314497
"[0.9, 0.95)",98,0.921571527511458,0.9183673469387755,-0.003204180572682458
"[0.95, 1.0)",23,0.95,0.9565217391304348,0.006521739130434856
