surface,model,n,accuracy,log_loss,brier,mean_confidence
Clay,p_rank,2101,0.6249405045216564,0.6666722575644002,0.23324179243080256,0.6996215224873645
Clay,p_overall_elo,2101,0.6178010471204188,0.641687697936671,0.22558898492984605,0.6482592803510626
Clay,p_surface_elo,2101,0.6287482151356497,0.6428322139783786,0.22613422987100998,0.6157501058705984
Clay,p_elo_blend,2101,0.6377915278438838,0.6335795456325728,0.22184316352771724,0.621285656892552
Clay,p_v097_core,2101,0.6377915278438838,0.631763895984813,0.22100622270025855,0.6282562349315948
Grass,p_rank,859,0.6461001164144354,0.6439187131253036,0.22473413387313687,0.7110571468824343
Grass,p_overall_elo,859,0.6356228172293364,0.6194604600848013,0.21677561923813984,0.6576511904022593
Grass,p_surface_elo,859,0.59953434225844,0.6525507600682869,0.23059938905708538,0.5774235928544017
Grass,p_elo_blend,859,0.6367869615832363,0.6258689808237785,0.21858547551812674,0.606188940961146
Grass,p_v097_core,859,0.6542491268917345,0.6204871864767949,0.2162618649016893,0.6168246959420446
Hard,p_rank,3849,0.6370485840478046,0.6529433217271786,0.2272881196105011,0.7084273936971497
Hard,p_overall_elo,3849,0.646921278254092,0.6226994517768459,0.21734667449870204,0.6533462857972658
Hard,p_surface_elo,3849,0.6352299298519096,0.6278246352768734,0.2198831210023887,0.6423438495484713
Hard,p_elo_blend,3849,0.6438035853468433,0.6223169355727513,0.21725532288057947,0.6449850674809348
Hard,p_v097_core,3849,0.6495193556767992,0.6204516024939919,0.21641194633911467,0.6497983283656897
