model,delta_accuracy,delta_log_loss,delta_brier
p_transition,-0.0002937288882361999,-0.0007867709643534226,-0.0003548830877845299
p_surface_win,-0.0007343222205904443,-0.00029333222704575057,-0.000117836797794868
p_form,-0.0007343222205904443,-0.00020630905522545095,-8.06001109190102e-05
p_pressure,-0.0005874577764723998,-0.00015639609587325687,-3.564238920103491e-05
p_serve_return,0.00044059333235424436,-7.073680816382932e-05,-3.881972756114571e-05
p_opp_strength,-0.0020561022176531774,-2.120613348499667e-05,-4.769218584221857e-07
p_deciding,0.0,4.586154467434156e-05,2.9999878612352315e-05
p_experience,-0.0023498311058892662,0.0004146948649172977,0.00018339780036077946
p_all_tested_shrunk,-0.003965339991188199,0.0016271796760155555,0.0005589523727860812
p_fatigue,-0.002937288882361666,0.0023520098365743536,0.000989990746702002
p_all_tested,-0.003965339991188199,0.0030864918051223267,0.0009854675479656905
p_core_shrunk,0.0,0.004011264666996306,0.0014114015777852706
