model,n,accuracy,log_loss,brier,mean_confidence
p_transition,6809,0.6462035541195477,0.6231598668160893,0.21745574950188307,0.6391143404468287
p_surface_win,6809,0.6457629607871934,0.6236533055533969,0.21769279579187273,0.6423844265626762
p_form,6809,0.6457629607871934,0.6237403287252172,0.2177300324787486,0.6418347869325478
p_pressure,6809,0.6459098252313115,0.6237902416845694,0.21777499020046656,0.6414133811730987
p_serve_return,6809,0.6469378763401381,0.6238759009722789,0.21777181286210645,0.6391925466685755
p_opp_strength,6809,0.6444411807901307,0.6239254316469577,0.21781015566780917,0.6403878785892962
p_core,6809,0.6464972830077839,0.6239466377804427,0.2178106325896676,0.6389914127309496
p_deciding,6809,0.6464972830077839,0.623992499325117,0.21784063246827995,0.6408860775881038
p_experience,6809,0.6441474519018946,0.62436133264536,0.21799403039002838,0.6478610507900077
p_all_tested_shrunk,6809,0.6425319430165957,0.6255738174564582,0.21836958496245368,0.6321297755039372
p_fatigue,6809,0.6435599941254222,0.626298647617017,0.2188006233363696,0.6431606872504848
p_all_tested,6809,0.6425319430165957,0.627033129585565,0.2187961001376333,0.6631310043248237
p_core_shrunk,6809,0.6464972830077839,0.627957902447439,0.21922203416745287,0.6126449875822773
