year,bucket,n,mean_adj,actual_win_rate,core_mean_p,residual_actual_minus_core
2024,<=-3pp,190,-0.03891680295281082,0.42105263157894735,0.4562938391982928,-0.03524120761934546
2024,-3:-1.5pp,284,-0.022229718416229605,0.43661971830985913,0.42237956215738054,0.014240156152478589
2024,-1.5:-0.5pp,367,-0.009435095089921965,0.4986376021798365,0.47226934636208556,0.02636825581775093
2024,near_zero,827,-3.8569340603130055e-06,0.4836759371221282,0.4956598433524438,-0.011983906230315589
2024,0.5:1.5pp,368,0.009382840121604705,0.5434782608695652,0.5245193770887893,0.018958883780775926
2024,1.5:3pp,248,0.021425147484905576,0.5201612903225806,0.5648211321523191,-0.04465984182973848
2024,>=3pp,202,0.039069267337174356,0.5544554455445545,0.5612588258604607,-0.006803380315906216
2025,<=-3pp,168,-0.038560672157932074,0.42857142857142855,0.4093721265756969,0.019199301995731666
2025,-3:-1.5pp,239,-0.022110174715719244,0.4560669456066946,0.43967294582705785,0.016393999779636736
2025,-1.5:-0.5pp,330,-0.009544733418178119,0.48484848484848486,0.471962477593218,0.01288600725526684
2025,near_zero,827,-3.962404187215775e-05,0.5102781136638452,0.4993336928120303,0.010944420851814907
2025,0.5:1.5pp,374,0.009155355133434982,0.49732620320855614,0.528059740412791,-0.030733537204234884
2025,1.5:3pp,259,0.022149520416622794,0.5057915057915058,0.5491099011904869,-0.04331839539898108
2025,>=3pp,183,0.039079884733258095,0.5683060109289617,0.5737604038910914,-0.005454392962129684
2026,<=-3pp,179,-0.04072976030881088,0.5083798882681564,0.44748011665716464,0.06089977161099175
2026,-3:-1.5pp,218,-0.022625212354022563,0.4954128440366973,0.452368694912239,0.04304414912445825
2026,-1.5:-0.5pp,257,-0.00939593847408941,0.49416342412451364,0.48572491343586366,0.00843851068864998
2026,near_zero,637,-0.00013395722430916638,0.4835164835164835,0.49929944939470233,-0.015782965878218813
2026,0.5:1.5pp,245,0.009281929703131348,0.5061224489795918,0.5086180842182675,-0.0024956352386756864
2026,1.5:3pp,230,0.02225863158359323,0.5391304347826087,0.5582912545053652,-0.019160819722756517
2026,>=3pp,177,0.041108991509630564,0.519774011299435,0.5612549096807047,-0.04148089838126967
