fit,validate,step,feature,multiplier,n,accuracy,log_loss,brier,mean_confidence,delta_log_loss_vs_core
2024,2025,0,CORE,0.0,2380,0.6466386554621849,0.6269915822602116,0.21912873588205778,0.6441254375410491,0.0
2024,2025,1,transition,2.100000000000003,2380,0.646218487394958,0.6261241082255757,0.21875755594532997,0.6448834470203382,-0.000867474034635829
2024,2025,2,surface_win,2.5000000000000036,2380,0.6470588235294118,0.6271283403979167,0.21905676039575236,0.6537663447255145,0.00013675813770508416
2024,2025,3,form,2.5000000000000036,2380,0.6512605042016807,0.627630264085087,0.21911725905927448,0.6607847227035097,0.0006386818248754755
2024,2025,4,deciding,-1.5,2380,0.65,0.626987922016503,0.21890456195063554,0.657854074152621,-3.660243708569766e-06
2024,2025,5,fatigue,0.3000000000000016,2380,0.6474789915966387,0.6274425490078002,0.2190527889277136,0.6588664353253052,0.0004509667475885992
2024,2025,6,pressure,-0.6999999999999993,2380,0.6470588235294118,0.6275559611986254,0.2191056503190039,0.657138322216584,0.0005643789384138787
2024-25,2026,0,CORE,0.0,1943,0.6428203808543489,0.6250129270997002,0.21816964383360632,0.6326913428800828,0.0
2024-25,2026,1,transition,2.100000000000003,1943,0.6443643849716932,0.6232675296487806,0.21743339302363796,0.6323139261791093,-0.0017453974509196168
2024-25,2026,2,form,2.5000000000000036,1943,0.6505404014410705,0.6232237255153691,0.21748124784441275,0.6388085689889541,-0.001789201584331157
2024-25,2026,3,deciding,-1.5,1943,0.6510550694801853,0.623576312486547,0.21761420726696268,0.6361196179871068,-0.0014366146131532531
2024-25,2026,4,pressure,1.7000000000000028,1943,0.6453937210499228,0.6234409645142309,0.2176301789888736,0.6398052352878524,-0.001571962585469322
2024-25,2026,5,fatigue,-0.29999999999999893,1943,0.6448790530108081,0.6230218721385873,0.21744518946931016,0.6390052590110127,-0.001991054961112959
2024-25,2026,6,surface_win,0.5000000000000018,1943,0.6438497169325785,0.6228283030752388,0.21736272221175232,0.6406076383588655,-0.0021846240244614012
