period,model_a,model_b,metric,point_difference_a_minus_b,ci_2_5,ci_97_5,probability_a_better
ALL,v098_safe,core,log_loss,-0.0012186868924712346,-0.0020068848294992384,-0.00037506037042916583,0.9986666666666667
ALL,v098_safe,core,brier,-0.0005202237393037027,-0.0008563623859974699,-0.00018026782218610713,0.9986666666666667
ALL,v098_safe,core,accuracy,0.00146864444118079,-0.0022029666617711854,0.0049933911000146864,0.781
ALL,v098_safe,v097_proxy,log_loss,-0.002845866568486805,-0.004263863095666624,-0.0013537940232973616,0.9996666666666667
ALL,v098_safe,v097_proxy,brier,-0.001079176112089777,-0.0016238468927820993,-0.0005341214275971689,1.0
ALL,v098_safe,v097_proxy,accuracy,0.005433984432368924,0.000587457776472316,0.010280511088265531,0.9846666666666667
2025,v098_safe,core,log_loss,-0.0010060608582665713,-0.0023531869540547043,0.0002840892633005154,0.935
2025,v098_safe,core,brier,-0.00042164290201263593,-0.0009976061621143437,0.00013820649574041515,0.924
2025,v098_safe,core,accuracy,0.0012605042016806723,-0.004621848739495798,0.0067226890756302525,0.626
2025,v098_safe,v097_proxy,log_loss,-0.0016078667187495654,-0.004099615729602351,0.0009690043825340438,0.896
2025,v098_safe,v097_proxy,brier,-0.0005811132050790244,-0.0015037877118013747,0.00032640224485376297,0.8963333333333333
2025,v098_safe,v097_proxy,accuracy,0.009243697478991597,0.002090336134453785,0.01680672268907563,0.9906666666666667
2026,v098_safe,core,log_loss,-0.001808732056060437,-0.0032549491859202215,-0.0003766044354828484,0.9913333333333333
2026,v098_safe,core,brier,-0.0007312197376880777,-0.0013869268975422997,-7.166336573964839e-05,0.9866666666666667
2026,v098_safe,core,accuracy,0.004117344312918168,-0.0025733401955738548,0.011322696860524962,0.8663333333333333
2026,v098_safe,v097_proxy,log_loss,-0.0052578088766694,-0.007958215809381334,-0.002544630501359516,1.0
2026,v098_safe,v097_proxy,brier,-0.0021399977483850833,-0.003238145337314681,-0.0011155352375370818,1.0
2026,v098_safe,v097_proxy,accuracy,0.005661348430262481,-0.003602676273803397,0.0159547092125579,0.8666666666666667
