model,bin,n,mean_confidence,actual_accuracy,calibration_gap_actual_minus_confidence
p_core,50-55,1590,0.5245325602907711,0.5471698113207547,0.022637251029983596
p_core,55-60,1449,0.5742714012641725,0.5659075224292616,-0.008363878834910965
p_core,60-65,1077,0.6233779024024455,0.6220984215413184,-0.001279480861127058
p_core,65-70,879,0.6738702238043234,0.6814562002275313,0.0075859764232079074
p_core,70-75,705,0.7238898717747357,0.7347517730496453,0.010861901274909602
p_core,75-80,497,0.7742228165763336,0.7927565392354124,0.018533722659078822
p_core,80-85,293,0.82236401985049,0.8361774744027304,0.013813454552240367
p_core,85-90,198,0.8727717344825643,0.8787878787878788,0.006016144305314497
p_core,90-95,98,0.921571527511458,0.9183673469387755,-0.003204180572682458
p_core,95+,23,0.95,0.9565217391304348,0.006521739130434856
p_v098_safe,50-55,1568,0.5244065331730541,0.5478316326530612,0.02342509948000715
p_v098_safe,55-60,1399,0.5745573965947058,0.5632594710507506,-0.011297925543955256
p_v098_safe,60-65,1087,0.6232563363676433,0.6237350505979761,0.00047871423033274407
p_v098_safe,65-70,901,0.6741965167509142,0.681465038845727,0.007268522094812768
p_v098_safe,70-75,698,0.7238528949095198,0.7349570200573066,0.011104125147786803
p_v098_safe,75-80,487,0.7744179965707505,0.7885010266940452,0.014083030123294704
p_v098_safe,80-85,323,0.8215388209063026,0.8111455108359134,-0.010393310070389239
p_v098_safe,85-90,189,0.8724200272530617,0.9047619047619048,0.0323418775088431
p_v098_safe,90-95,123,0.9224391844257421,0.9105691056910569,-0.011870078734685263
p_v098_safe,95+,34,0.95,0.9117647058823529,-0.038235294117647034
