dimension,segment,n,core_accuracy,candidate_accuracy,delta_accuracy,core_log_loss,candidate_log_loss,delta_log_loss,core_brier,candidate_brier,delta_brier
surface,Clay,2101,0.6377915278438838,0.6487386958591147,0.01094716801523088,0.631763895984813,0.631544161381731,-0.0002197346030820002,0.22100622270025855,0.2208821705986538,-0.000124052101604738
surface,Grass,859,0.6542491268917345,0.6565774155995343,0.002328288707799775,0.6204871864767949,0.6161990028998081,-0.004288183576986793,0.2162618649016893,0.21443693818872595,-0.0018249267129633595
surface,Hard,3849,0.6495193556767992,0.6456222395427383,-0.0038971161340608518,0.6204516024939919,0.6193726658982189,-0.0010789365957729613,0.21641194633911467,0.21596664679923108,-0.0004452995398835924
round,1/16-finals,124,0.5725806451612904,0.6129032258064516,0.040322580645161255,0.6334518961359441,0.6298559175551496,-0.0035959785807945233,0.22232196646093508,0.22043300961871062,-0.001888956842224454
round,1/32-finals,93,0.6666666666666666,0.6666666666666666,0.0,0.6121284101285414,0.6052583908010186,-0.006870019327522736,0.2100148208908948,0.20802321183398492,-0.001991609056909871
round,1/64-finals,115,0.6,0.6086956521739131,0.008695652173913104,0.6392131942095737,0.6346242052538041,-0.004588988955769535,0.2248335213851281,0.22282860504730756,-0.002004916337820545
round,F,213,0.6103286384976526,0.596244131455399,-0.014084507042253613,0.6397941841358696,0.6379872021114772,-0.001806982024392445,0.22541891236267894,0.22481484590821538,-0.0006040664544635643
round,QF,661,0.6732223903177005,0.6686838124054463,-0.004538577912254205,0.6306919710837716,0.6306014515536515,-9.051953012007008e-05,0.21988648485838336,0.21988103256955546,-5.452288827895169e-06
round,R128,2548,0.6153846153846154,0.6208791208791209,0.005494505494505475,0.640967444574506,0.6388111391257849,-0.002156305448721141,0.2259948744973696,0.224991604131303,-0.0010032703660665943
round,R16,295,0.7016949152542373,0.6949152542372882,-0.006779661016949157,0.5651455210241005,0.5617663800498125,-0.003379140974288042,0.19257388732924932,0.19153667986437198,-0.0010372074648773433
round,R32,510,0.7137254901960784,0.7254901960784313,0.0117647058823529,0.5545371097016134,0.5539282634514222,-0.0006088462501911973,0.18551903213037507,0.18525358435231468,-0.0002654477780603959
round,R64,1855,0.6646900269541779,0.662533692722372,-0.0021563342318059453,0.6217028115191083,0.6217702917382762,6.748021916791469e-05,0.2165230129200907,0.21654666811485074,2.3655194760024978e-05
round,SF,371,0.6388140161725068,0.628032345013477,-0.010781671159029727,0.6412873699664813,0.6426545380545899,0.0013671680881086612,0.22576246665531108,0.22634670283579147,0.0005842361804803964
