denominator,games,accuracy,log_loss,brier,mean_probability,actual_home_win_rate
4.0,1954,0.62999,0.764881,0.250539,0.56683,0.53685
4.25,1954,0.62999,0.747435,0.2478,0.56525,0.53685
4.5,1954,0.62999,0.732674,0.245337,0.5637,0.53685
4.75,1954,0.62999,0.720121,0.243122,0.56218,0.53685
5.0,1954,0.62999,0.709396,0.241131,0.56071,0.53685
5.25,1954,0.62999,0.700199,0.239342,0.55927,0.53685
5.5,1954,0.62999,0.692284,0.237735,0.55788,0.53685
5.75,1954,0.62999,0.685454,0.236292,0.55653,0.53685
6.0,1954,0.62999,0.679545,0.234998,0.55523,0.53685
6.25,1954,0.62999,0.674424,0.233838,0.55396,0.53685
6.5,1954,0.62999,0.669977,0.2328,0.55274,0.53685
6.75,1954,0.62999,0.666112,0.231871,0.55156,0.53685
7.0,1954,0.62999,0.66275,0.231041,0.55042,0.53685
7.25,1954,0.62999,0.659823,0.230302,0.54931,0.53685
7.5,1954,0.62999,0.657276,0.229644,0.54825,0.53685
7.75,1954,0.62999,0.65506,0.22906,0.54722,0.53685
8.0,1954,0.62999,0.653133,0.228543,0.54623,0.53685
8.25,1954,0.62999,0.651461,0.228087,0.54526,0.53685
8.5,1954,0.62999,0.650012,0.227686,0.54434,0.53685
8.75,1954,0.62999,0.64876,0.227335,0.54344,0.53685
9.0,1954,0.62999,0.647682,0.22703,0.54257,0.53685
9.25,1954,0.62999,0.646757,0.226767,0.54174,0.53685
9.5,1954,0.62999,0.645969,0.226541,0.54092,0.53685
9.75,1954,0.62999,0.645301,0.226349,0.54014,0.53685
10.0,1954,0.62999,0.64474,0.226189,0.53938,0.53685
10.25,1954,0.62999,0.644274,0.226057,0.53865,0.53685
10.5,1954,0.62999,0.643894,0.225951,0.53794,0.53685
10.75,1954,0.62999,0.643589,0.225868,0.53725,0.53685
11.0,1954,0.62999,0.643351,0.225807,0.53659,0.53685
11.25,1954,0.62999,0.643174,0.225765,0.53594,0.53685
11.5,1954,0.62999,0.64305,0.225741,0.53532,0.53685
11.75,1954,0.62999,0.642974,0.225732,0.53471,0.53685
12.0,1954,0.62999,0.642941,0.225739,0.53413,0.53685
12.25,1954,0.62999,0.642946,0.225758,0.53356,0.53685
12.5,1954,0.62999,0.642986,0.22579,0.53301,0.53685
12.75,1954,0.62999,0.643056,0.225833,0.53247,0.53685
13.0,1954,0.62999,0.643153,0.225885,0.53195,0.53685
13.25,1954,0.62999,0.643274,0.225947,0.53145,0.53685
13.5,1954,0.62999,0.643417,0.226016,0.53096,0.53685
13.75,1954,0.62999,0.64358,0.226093,0.53048,0.53685
14.0,1954,0.62999,0.64376,0.226177,0.53001,0.53685
