variant,group,games,log_loss,brier,accuracy,mean_pick_confidence,log_loss_early_weeks,log_loss_late_weeks,best_margin_scale,log_loss_at_best_scale,setting_engine,setting_player_cap,setting_player_stability_mult,setting_team_cap,setting_team_stability
v1_4_legacy,main,255,0.62493,0.21772,0.6353,0.6102,0.6428,0.60576,1.45,0.61855,legacy,0.8,1.0,0.6,6.0
grid_pm0.5_tc0.8_tk3,grid,255,0.64443,0.2265,0.6235,0.5815,0.64509,0.64373,1.8,0.63324,current,0.8,0.5,0.8,3.0
grid_pm1_tc0.8_tk3,grid,255,0.64503,0.22677,0.6275,0.583,0.64578,0.64422,1.75,0.63517,current,0.8,1.0,0.8,3.0
grid_pm0.5_tc0.8_tk6,grid,255,0.64544,0.22699,0.6314,0.5811,0.64504,0.64586,1.8,0.63483,current,0.8,0.5,0.8,6.0
grid_pm2_tc0.8_tk3,grid,255,0.64594,0.22719,0.6353,0.5845,0.64656,0.64527,1.65,0.63757,current,0.8,2.0,0.8,3.0
grid_pm1_tc0.8_tk6,grid,255,0.64606,0.22727,0.6353,0.5826,0.64577,0.64637,1.7,0.63678,current,0.8,1.0,0.8,6.0
grid_pm0.5_tc0.6_tk3,grid,255,0.64611,0.22731,0.6353,0.5809,0.64511,0.64719,1.75,0.63594,current,0.8,0.5,0.6,3.0
grid_pm1_tc0.6_tk3,grid,255,0.64674,0.2276,0.6353,0.5824,0.64583,0.64772,1.7,0.63786,current,0.8,1.0,0.6,3.0
grid_pm0.5_tc0.8_tk12,grid,255,0.64687,0.22768,0.6314,0.5808,0.64516,0.6487,1.75,0.63718,current,0.8,0.5,0.8,12.0
grid_pm0.5_tc0.6_tk6,grid,255,0.64694,0.22771,0.6314,0.5807,0.64513,0.64887,1.75,0.63728,current,0.8,0.5,0.6,6.0
grid_pm2_tc0.8_tk6,grid,255,0.64699,0.2277,0.6275,0.5841,0.64656,0.64745,1.65,0.63918,current,0.8,2.0,0.8,6.0
grid_pm1_tc0.8_tk12,grid,255,0.64752,0.22797,0.6275,0.5822,0.64591,0.64925,1.7,0.63914,current,0.8,1.0,0.8,12.0
grid_pm1_tc0.6_tk6,grid,255,0.64758,0.228,0.6275,0.5822,0.64587,0.64941,1.7,0.63923,current,0.8,1.0,0.6,6.0
v1_5_current,main,255,0.64758,0.228,0.6275,0.5822,0.64587,0.64941,1.7,0.63923,current,0.8,1.0,0.6,6.0
grid_pm2_tc0.6_tk3,grid,255,0.64767,0.22803,0.6314,0.5839,0.64663,0.6488,1.6,0.64024,current,0.8,2.0,0.6,3.0
grid_pm0.5_tc0.6_tk12,grid,255,0.64805,0.22825,0.6275,0.5806,0.64525,0.65106,1.7,0.63915,current,0.8,0.5,0.6,12.0
grid_pm2_tc0.8_tk12,grid,255,0.64847,0.22841,0.6353,0.5837,0.64672,0.65034,1.6,0.64149,current,0.8,2.0,0.8,12.0
grid_pm2_tc0.6_tk6,grid,255,0.64853,0.22844,0.6353,0.5837,0.64668,0.65051,1.6,0.64157,current,0.8,2.0,0.6,6.0
grid_pm1_tc0.6_tk12,grid,255,0.64872,0.22855,0.6196,0.582,0.646,0.65162,1.65,0.64107,current,0.8,1.0,0.6,12.0
grid_pm0.5_tc0.3_tk3,grid,255,0.64886,0.22864,0.6196,0.5805,0.6453,0.65267,1.7,0.64047,current,0.8,0.5,0.3,3.0
grid_pm0.5_tc0.3_tk6,grid,255,0.64931,0.22886,0.6196,0.5805,0.64536,0.65355,1.7,0.64125,current,0.8,0.5,0.3,6.0
grid_pm1_tc0.3_tk3,grid,255,0.64952,0.22894,0.6157,0.5819,0.64606,0.65325,1.65,0.64236,current,0.8,1.0,0.3,3.0
grid_pm2_tc0.6_tk12,grid,255,0.64968,0.229,0.6314,0.5835,0.64682,0.65274,1.6,0.64339,current,0.8,2.0,0.6,12.0
grid_pm0.5_tc0.3_tk12,grid,255,0.6499,0.22915,0.6196,0.5806,0.64543,0.6547,1.65,0.64224,current,0.8,0.5,0.3,12.0
grid_pm1_tc0.3_tk6,grid,255,0.64998,0.22917,0.6196,0.582,0.64612,0.65413,1.6,0.64311,current,0.8,1.0,0.3,6.0
grid_pm2_tc0.3_tk3,grid,255,0.65049,0.22939,0.6275,0.5835,0.64688,0.65437,1.55,0.64462,current,0.8,2.0,0.3,3.0
grid_pm1_tc0.3_tk12,grid,255,0.65059,0.22946,0.6157,0.582,0.6462,0.65529,1.6,0.64409,current,0.8,1.0,0.3,12.0
grid_pm2_tc0.3_tk6,grid,255,0.65096,0.22962,0.6275,0.5835,0.64695,0.65527,1.55,0.64536,current,0.8,2.0,0.3,6.0
grid_pm2_tc0.3_tk12,grid,255,0.65157,0.22991,0.6196,0.5836,0.64703,0.65643,1.5,0.64632,current,0.8,2.0,0.3,12.0
madden_only,main,255,0.6559,0.23195,0.6039,0.5868,0.64863,0.6637,1.35,0.65357,current,0.0,1.0,0.0,6.0
