week,prior_stat_rows,snapshot_teams,madden_players,active_matched,active_roster
2,1072,32,1880,1459,1537
3,2180,32,1880,1439,1536
4,3283,32,1880,1428,1536
5,4390,32,1880,1229,1346
6,5351,32,1880,1304,1440
7,6365,32,1880,1314,1440
8,7400,32,1880,1136,1248
9,8292,32,1880,1216,1346
10,9240,32,1880,1204,1344
11,10203,32,1880,1275,1439
12,11235,32,1880,1187,1344
13,12202,32,1880,1342,1536
14,13283,32,1880,1179,1344
15,14257,32,1880,1335,1536
16,15312,32,1880,1317,1536
17,16410,32,1880,1286,1536
18,17473,32,1880,1266,1536
