model,delta_accuracy,delta_log_loss,delta_brier
p_transition,-0.0004449718184514895,-0.0008660282445577261,-0.0003911530912955319
p_surface_win,-0.0007416196974191491,-0.0002279973052448092,-8.488528781919191e-05
p_pressure,0.0,-0.00017982110180325694,-4.294169169349882e-05
p_form,-0.0013349154553544684,-0.00016931967266575754,-6.175689939660889e-05
p_opp_strength,-0.001779887273805958,-4.569054439729214e-05,-1.2730570969843313e-05
p_serve_return,0.0,-1.6596147376146675e-05,-1.2498405630834153e-05
p_deciding,0.00014832393948382983,6.111329747737759e-05,3.755545123246273e-05
p_experience,-0.002521506971225107,0.00030770164544469125,0.00013025142228878517
p_all_tested_shrunk,-0.0038564224265795755,0.0014064731751801673,0.000450175170197159
p_fatigue,-0.001631563334322128,0.002148141390780345,0.0008910370135041812
p_all_tested,-0.0038564224265795755,0.0028617536859785186,0.0008750211019129817
p_core_shrunk,0.0,0.004010015642356257,0.0014040897349310855
