model,n,accuracy,log_loss,brier,mean_confidence
p_transition,6742,0.6455057846336398,0.6229830836903226,0.21739088368985965,0.6394320570204661
p_surface_win,6742,0.6452091367546722,0.6236211146296355,0.217697151493336,0.6427406725349741
p_pressure,6742,0.6459507564520913,0.6236692908330771,0.21773909508946168,0.6417512422551995
p_form,6742,0.6446158409967369,0.6236797922622146,0.21772027988175857,0.6421912825660404
p_opp_strength,6742,0.6441708691782854,0.6238034213904831,0.21776930621018534,0.6406824469350174
p_serve_return,6742,0.6459507564520913,0.6238325157875042,0.21776953837552435,0.6394787554518804
p_core,6742,0.6459507564520913,0.6238491119348804,0.21778203678115518,0.6393046602740895
p_deciding,6742,0.6460990803915752,0.6239102252323577,0.21781959223238764,0.6412019667481602
p_experience,6742,0.6434292494808662,0.624156813580325,0.21791228820344397,0.6481660432012886
p_all_tested_shrunk,6742,0.6420943340255117,0.6252555851100605,0.21823221195135234,0.6323197100515194
p_fatigue,6742,0.6443191931177692,0.6259972533256607,0.21867307379465936,0.643354024981848
p_all_tested,6742,0.6420943340255117,0.6267108656208589,0.21865705788306816,0.6634589062953657
p_core_shrunk,6742,0.6459507564520913,0.6278591275772366,0.21918612651608627,0.6128334432704532
