tourney_date,tourney_name,surface,tourney_level,round,winner_name,loser_name,winner_rank,loser_rank,score,winner_age,loser_age,w_ace,l_ace,w_df,l_df,w_svpt,l_svpt,w_1stIn,l_1stIn,w_1stWon,l_1stWon,w_2ndWon,l_2ndWon,w_SvGms,l_SvGms,w_bpSaved,l_bpSaved,w_bpFaced,l_bpFaced
20210107,Antalya Open,Hard,A,R128,Basilashvili N.,Arnaboldi A.,40,267.0,4-6 7-5 6-1,,,,,,,,,,,,,,,,,,,,
20210107,Antalya Open,Hard,A,R128,Celikbilek A.,Zuk K.,309,262.0,7-6 7-5,,,,,,,,,,,,,,,,,,,,
20210107,Antalya Open,Hard,A,R128,Ruusuvuori E.,Vesely J.,87,67.0,6-3 7-6,,,,,,,,,,,,,,,,,,,,
20210107,Antalya Open,Hard,A,R128,Bublik A.,Caruso S.,49,76.0,6-3 6-3,,,,,,,,,,,,,,,,,,,,
20210107,Antalya Open,Hard,A,R128,Goffin D.,Herbert P.H.,16,83.0,3-6 7-5 6-0,,,,,,,,,,,,,,,,,,,,
20210107,Antalya Open,Hard,A,R128,Travaglia S.,Kecmanovic M.,75,42.0,1-6 6-4 6-0,,,,,,,,,,,,,,,,,,,,
20210108,Antalya Open,Hard,A,R128,Struff J.L.,Kotov P.,37,269.0,6-4 6-3,,,,,,,,,,,,,,,,,,,,
20210108,Antalya Open,Hard,A,R128,Lamasine T.,Gerasimov E.,271,78.0,7-6 6-2,,,,,,,,,,,,,,,,,,,,
20210108,Antalya Open,Hard,A,R128,Andreev A.,Ilhan M.,564,571.0,6-4 6-3,,,,,,,,,,,,,,,,,,,,
20210108,Antalya Open,Hard,A,R128,Grenier H.,Molcan A.,250,313.0,7-5 6-4,,,,,,,,,,,,,,,,,,,,
20210108,Antalya Open,Hard,A,R128,Berrettini M.,Kirkin E.,10,446.0,6-0 6-4,,,,,,,,,,,,,,,,,,,,
20210108,Antalya Open,Hard,A,R128,Chardy J.,Albot R.,72,85.0,6-3 6-4,,,,,,,,,,,,,,,,,,,,
20210108,Antalya Open,Hard,A,R128,De Minaur A.,Jaziri M.,23,249.0,6-2 6-1,,,,,,,,,,,,,,,,,,,,
20210108,Antalya Open,Hard,A,R128,Kuhn N.,Bachinger M.,253,279.0,3-6 6-3 4-1,,,,,,,,,,,,,,,,,,,,
20210108,Antalya Open,Hard,A,R128,Fognini F.,Vrbensky M.,17,311.0,6-4 7-6,,,,,,,,,,,,,,,,,,,,
20210108,Antalya Open,Hard,A,R128,Kuzmanov D.,Djere L.,298,55.0,6-1 3-2,,,,,,,,,,,,,,,,,,,,
20210109,Antalya Open,Hard,A,R64,De Minaur A.,Andreev A.,23,564.0,6-3 6-1,,,,,,,,,,,,,,,,,,,,
20210109,Antalya Open,Hard,A,R64,Basilashvili N.,Celikbilek A.,40,309.0,7-6 6-4,,,,,,,,,,,,,,,,,,,,
20210109,Antalya Open,Hard,A,R64,Travaglia S.,Ruusuvuori E.,75,87.0,7-6 6-3,,,,,,,,,,,,,,,,,,,,
20210109,Antalya Open,Hard,A,R64,Goffin D.,Kuhn N.,16,253.0,6-0 6-2,,,,,,,,,,,,,,,,,,,,
20210110,Antalya Open,Hard,A,R64,Chardy J.,Fognini F.,72,17.0,7-6 6-7 7-6,,,,,,,,,,,,,,,,,,,,
20210110,Antalya Open,Hard,A,R64,Bublik A.,Lamasine T.,49,271.0,6-2 6-4,,,,,,,,,,,,,,,,,,,,
20210110,Antalya Open,Hard,A,R64,Struff J.L.,Grenier H.,37,250.0,,,,,,,,,,,,,,,,,,,,,
20210110,Antalya Open,Hard,A,R64,Berrettini M.,Kuzmanov D.,10,298.0,6-2 6-3,,,,,,,,,,,,,,,,,,,,
20210111,Antalya Open,Hard,A,QF,Goffin D.,Travaglia S.,16,75.0,6-3 6-2,,,,,,,,,,,,,,,,,,,,
20210111,Antalya Open,Hard,A,QF,Chardy J.,Struff J.L.,72,37.0,4-6 6-2 7-6,,,,,,,,,,,,,,,,,,,,
20210111,Antalya Open,Hard,A,QF,Bublik A.,Berrettini M.,49,10.0,7-6 6-4,,,,,,,,,,,,,,,,,,,,
20210111,Antalya Open,Hard,A,QF,De Minaur A.,Basilashvili N.,23,40.0,6-2 6-4,,,,,,,,,,,,,,,,,,,,
20210112,Antalya Open,Hard,A,SF,De Minaur A.,Goffin D.,23,16.0,6-4 3-6 6-2,,,,,,,,,,,,,,,,,,,,
20210112,Antalya Open,Hard,A,SF,Bublik A.,Chardy J.,49,72.0,6-4 6-7 6-3,,,,,,,,,,,,,,,,,,,,
20210113,Antalya Open,Hard,A,F,De Minaur A.,Bublik A.,23,49.0,,,,,,,,,,,,,,,,,,,,,
20210107,Delray Beach Open,Hard,A,R128,Monteiro T.,Bellucci T.,84,281.0,6-3 7-5,,,,,,,,,,,,,,,,,,,,
20210107,Delray Beach Open,Hard,A,R128,Paul T.,Nam J.S.,52,268.0,6-1 6-4,,,,,,,,,,,,,,,,,,,,
20210107,Delray Beach Open,Hard,A,R128,Mager G.,Harrison R.,101,481.0,3-6 6-1 6-4,,,,,,,,,,,,,,,,,,,,
20210107,Delray Beach Open,Hard,A,R128,Korda S.,Kwon S.W.,119,95.0,6-4 6-4,,,,,,,,,,,,,,,,,,,,
