alias,hand,resolved_player,method
A. De Minaur,R,Alex De Minaur,exact_signature
Added D.,R,Dan Added,exact_signature
Agamenone F.,R,Franco Agamenone,exact_signature
Ajdukovic D.,R,Duje Ajdukovic,exact_signature
Albot R.,R,Radu Albot,exact_signature
Alcaraz C.,R,Carlos Alcaraz,exact_signature
Altmaier D.,R,Daniel Altmaier,exact_signature
Alvarez Varona N.,R,Nicolas Alvarez Varona,exact_signature
Alves M.,R,Miguel Alves,exact_signature
Anderson K.,R,Kevin Anderson,exact_signature
Andreev A.,R,Adrian Andreev,exact_signature
Andreozzi G.,R,Guido Andreozzi,exact_signature
Andujar P.,R,Pablo Andujar,exact_signature
Arnaboldi A.,L,Andrea Arnaboldi,exact_signature
Arnaldi M.,R,Matteo Arnaldi,exact_signature
Atmane T.,L,Terence Atmane,exact_signature
Auger-Aliassime F.,R,Felix Auger Aliassime,exact_signature
B. Van De Zandschulp,R,Botic Van De Zandschulp,exact_signature
Baadi T.,R,Taha Baadi,exact_signature
Bachinger M.,R,Matthias Bachinger,exact_signature
Baez S.,R,Sebastian Baez,exact_signature
Bagnis F.,L,Facundo Bagnis,exact_signature
Bailly G.,R,Gilles Arnaud Bailly,exact_signature
Bailly G.A.,R,Alberto Gutierrez G230,surname_last_initial
Balazs A.,R,Attila Balazs,exact_signature
Barranco Cosano J.,L,Javier Barranco Cosano,exact_signature
Barrena A.,R,Alex Barrena,exact_signature
Barrere G.,R,Gregoire Barrere,exact_signature
Barrientos N.,R,Nicolas Barrientos,exact_signature
Basavareddy N.,R,Nishesh Basavareddy,exact_signature
Basic M.,R,Mirza Basic,exact_signature
Basilashvili N.,R,Nikoloz Basilashvili,exact_signature
Basing M.,R,Max Basing,exact_signature
Bautista Agut R.,R,Roberto Bautista Agut,exact_signature
Becroft I.,R,Isaac Becroft,exact_signature
Bedene A.,R,Aljaz Bedene,exact_signature
Bellier A.,L,Antoine Bellier,exact_signature
Bellucci M.,L,Mattia Bellucci,exact_signature
Bellucci T.,L,Thomaz Bellucci,exact_signature
Benchetrit E.,R,Elliot Benchetrit,exact_signature
Bennani R.,R,Reda Bennani,exact_signature
Berankis R.,R,Ricardas Berankis,exact_signature
Bergs Z.,R,Zizou Bergs,exact_signature
Bernet H.,R,Henry Bernet,exact_signature
Berrettini J.,R,Jacopo Berrettini,exact_signature
Berrettini M.,R,Matteo Berrettini,exact_signature
Bertola R.,R,Remy Bertola,exact_signature
Bhambri Y.,R,Yuki Bhambri,exact_signature
Blancaneaux G.,R,Geoffrey Blancaneaux,exact_signature
Blanchet U.,R,Ugo Blanchet,exact_signature
Blockx A.,R,Alexander Blockx,exact_signature
Blumberg W.,R,William Blumberg,exact_signature
Boitan G.A.,R,Alberto Gutierrez G230,surname_last_initial
Bolt A.,L,Alex Bolt,exact_signature
Bonadio R.,R,Riccardo Bonadio,exact_signature
Bonzi B.,R,Benjamin Bonzi,exact_signature
Boogaard T.,R,Thijs Boogaard,exact_signature
Borg L.,R,Leo Borg,exact_signature
Borges N.,R,Nuno Borges,exact_signature
Bourchier H.,R,Harry Bourchier,exact_signature
Bourgue M.,R,Mathias Bourgue,exact_signature
Boyer T.,R,Tristan Boyer,exact_signature
Brancaccio R.,R,Raul Brancaccio,exact_signature
Broady L.,L,Liam Broady,exact_signature
Brooksby J.,R,Jenson Brooksby,exact_signature
Broom C.,R,Charles Broom,exact_signature
Brouwer G.,L,Gijs Brouwer,exact_signature
Brown D.,R,Derek Brown,exact_signature
Bryde T.,R,Trent Bryde,exact_signature
Bublik A.,R,Alexander Bublik,exact_signature
Budkov Kjaer N.,R,Nicolai Budkov Kjaer,exact_signature
Bueno G.,R,Gonzalo Bueno,exact_signature
Burruchaga R.,R,Roman Andres Burruchaga,exact_signature
Buse I.,R,Ignacio Buse,exact_signature
Butvilas E.,R,Edas Butvilas,exact_signature
C. Ugo Carabelli,R,Camilo Ugo Carabelli,exact_signature
Cachin P.,R,Pedro Cachin,exact_signature
Cadenasso G.,R,Gianluca Cadenasso,exact_signature
Carballes Baena R.,R,Roberto Carballes Baena,exact_signature
Carreno Busta P.,R,Pablo Carreno Busta,exact_signature
Caruso S.,R,Salvatore Caruso,exact_signature
Casanova H.,R,Hernan Casanova,exact_signature
Cassone M.,R,Murphy Cassone,exact_signature
Catarina L.,R,Lucas Catarina,exact_signature
Cazaux A.,R,Arthur Cazaux,exact_signature
Cecchinato M.,R,Marco Cecchinato,exact_signature
Celikbilek A.,R,Altug Celikbilek,exact_signature
Cerundolo F.,R,Francisco Cerundolo,exact_signature
Chappell N.,L,Nick Chappell,exact_signature
Chardy J.,R,Jeremy Chardy,exact_signature
Chidekh C.,R,Clement Chidekh,exact_signature
Choinski J.,R,Jan Choinski,exact_signature
Chung Y.,R,Yunseong Chung,exact_signature
Cilic M.,R,Marin Cilic,exact_signature
Cina F.,R,Francesco Cina,exact_signature
Clarke J.,R,Jay Clarke,exact_signature
Cobolli F.,R,Flavio Cobolli,exact_signature
Collarini A.,L,Andrea Collarini,exact_signature
Collignon R.,R,Raphael Collignon,exact_signature
Comesana F.,R,Francisco Comesana,exact_signature
Copil M.,R,Marius Copil,exact_signature
Coppejans K.,R,Kimmer Coppejans,exact_signature
Coria F.,R,Federico Coria,exact_signature
Coric B.,R,Borna Coric,exact_signature
Couacaud E.,R,Enzo Couacaud,exact_signature
Crawford O.,R,Oliver Crawford,exact_signature
Cressy M.,R,Maxime Cressy,exact_signature
Cuevas P.,R,Pablo Cuevas,exact_signature
Cui J.,R,Jie Cui,exact_signature
D. Chan,R,Duncan Chan,exact_signature
