team,head_coach,experience_years,record_2025,source_url,source_retrieved
Arizona Cardinals,Mike LaFleur,0,--,https://www.espn.com/nfl/coaches,2026-08-14
Atlanta Falcons,Kevin Stefanski,6,--,https://www.espn.com/nfl/coaches,2026-08-14
Baltimore Ravens,Jesse Minter,0,--,https://www.espn.com/nfl/coaches,2026-08-14
Buffalo Bills,Joe Brady,0,0-0,https://www.espn.com/nfl/coaches,2026-08-14
Carolina Panthers,Dave Canales,1,8-9,https://www.espn.com/nfl/coaches,2026-08-14
Chicago Bears,Ben Johnson,0,11-6,https://www.espn.com/nfl/coaches,2026-08-14
Cincinnati Bengals,Zac Taylor,6,6-11,https://www.espn.com/nfl/coaches,2026-08-14
Cleveland Browns,Todd Monken,0,--,https://www.espn.com/nfl/coaches,2026-08-14
Dallas Cowboys,Brian Schottenheimer,0,7-9,https://www.espn.com/nfl/coaches,2026-08-14
Denver Broncos,Sean Payton,17,14-3,https://www.espn.com/nfl/coaches,2026-08-14
Detroit Lions,Dan Campbell,5,9-8,https://www.espn.com/nfl/coaches,2026-08-14
Green Bay Packers,Matt LaFleur,6,9-7,https://www.espn.com/nfl/coaches,2026-08-14
Houston Texans,DeMeco Ryans,2,12-5,https://www.espn.com/nfl/coaches,2026-08-14
Indianapolis Colts,Shane Steichen,2,8-9,https://www.espn.com/nfl/coaches,2026-08-14
Jacksonville Jaguars,Liam Coen,0,13-4,https://www.espn.com/nfl/coaches,2026-08-14
Kansas City Chiefs,Andy Reid,26,6-11,https://www.espn.com/nfl/coaches,2026-08-14
Las Vegas Raiders,Klint Kubiak,0,--,https://www.espn.com/nfl/coaches,2026-08-14
Los Angeles Chargers,Jim Harbaugh,5,11-6,https://www.espn.com/nfl/coaches,2026-08-14
Los Angeles Rams,Sean McVay,8,12-5,https://www.espn.com/nfl/coaches,2026-08-14
Miami Dolphins,Jeff Hafley,0,--,https://www.espn.com/nfl/coaches,2026-08-14
Minnesota Vikings,Kevin O'Connell,3,9-8,https://www.espn.com/nfl/coaches,2026-08-14
New England Patriots,Mike Vrabel,6,14-3,https://www.espn.com/nfl/coaches,2026-08-14
New Orleans Saints,Kellen Moore,0,6-11,https://www.espn.com/nfl/coaches,2026-08-14
New York Giants,John Harbaugh,18,--,https://www.espn.com/nfl/coaches,2026-08-14
New York Jets,Aaron Glenn,0,3-14,https://www.espn.com/nfl/coaches,2026-08-14
Philadelphia Eagles,Nick Sirianni,4,11-6,https://www.espn.com/nfl/coaches,2026-08-14
Pittsburgh Steelers,Mike McCarthy,17,--,https://www.espn.com/nfl/coaches,2026-08-14
San Francisco 49ers,Kyle Shanahan,8,12-5,https://www.espn.com/nfl/coaches,2026-08-14
Seattle Seahawks,Mike Macdonald,1,14-3,https://www.espn.com/nfl/coaches,2026-08-14
Tampa Bay Buccaneers,Todd Bowles,8,8-9,https://www.espn.com/nfl/coaches,2026-08-14
Tennessee Titans,Robert Saleh,4,--,https://www.espn.com/nfl/coaches,2026-08-14
Washington Commanders,Dan Quinn,7,5-12,https://www.espn.com/nfl/coaches,2026-08-14
