player_name,team,position,overall,speed,strength,agility,change_of_direction,injury,awareness,id,firstName,lastName,birthdate,height,weight,overallRating,college,handedness,age,jerseyNum,yearsPro,avatarUrl,archetype,iteration_id,iteration_label,stats_acceleration_value,stats_acceleration_diff,stats_agility_value,stats_agility_diff,stats_jumping_value,stats_jumping_diff,stats_stamina_value,stats_stamina_diff,stats_strength_value,stats_strength_diff,stats_awareness_value,stats_awareness_diff,stats_bCVision_value,stats_bCVision_diff,stats_blockShedding_value,stats_blockShedding_diff,stats_breakSack_value,stats_breakSack_diff,stats_breakTackle_value,stats_breakTackle_diff,stats_carrying_value,stats_carrying_diff,stats_catchInTraffic_value,stats_catchInTraffic_diff,stats_catching_value,stats_catching_diff,stats_changeOfDirection_value,stats_changeOfDirection_diff,stats_deepRouteRunning_value,stats_deepRouteRunning_diff,stats_finesseMoves_value,stats_finesseMoves_diff,stats_hitPower_value,stats_hitPower_diff,stats_impactBlocking_value,stats_impactBlocking_diff,stats_injury_value,stats_injury_diff,stats_jukeMove_value,stats_jukeMove_diff,stats_kickAccuracy_value,stats_kickAccuracy_diff,stats_kickPower_value,stats_kickPower_diff,stats_kickReturn_value,stats_kickReturn_diff,stats_leadBlock_value,stats_leadBlock_diff,stats_manCoverage_value,stats_manCoverage_diff,stats_mediumRouteRunning_value,stats_mediumRouteRunning_diff,stats_overall_value,stats_overall_diff,stats_passBlock_value,stats_passBlock_diff,stats_passBlockFinesse_value,stats_passBlockFinesse_diff,stats_passBlockPower_value,stats_passBlockPower_diff,stats_playAction_value,stats_playAction_diff,stats_playRecognition_value,stats_playRecognition_diff,stats_powerMoves_value,stats_powerMoves_diff,stats_press_value,stats_press_diff,stats_pursuit_value,stats_pursuit_diff,stats_release_value,stats_release_diff,stats_runBlock_value,stats_runBlock_diff,stats_runBlockFinesse_value,stats_runBlockFinesse_diff,stats_runBlockPower_value,stats_runBlockPower_diff,stats_runningStyle_value,stats_runningStyle_diff,stats_shortRouteRunning_value,stats_shortRouteRunning_diff,stats_spectacularCatch_value,stats_spectacularCatch_diff,stats_speed_value,stats_speed_diff,stats_spinMove_value,stats_spinMove_diff,stats_stiffArm_value,stats_stiffArm_diff,stats_tackle_value,stats_tackle_diff,stats_throwAccuracyDeep_value,stats_throwAccuracyDeep_diff,stats_throwAccuracyMid_value,stats_throwAccuracyMid_diff,stats_throwAccuracyShort_value,stats_throwAccuracyShort_diff,stats_throwOnTheRun_value,stats_throwOnTheRun_diff,stats_throwPower_value,stats_throwPower_diff,stats_throwUnderPressure_value,stats_throwUnderPressure_diff,stats_toughness_value,stats_toughness_diff,stats_trucking_value,stats_trucking_diff,stats_zoneCoverage_value,stats_zoneCoverage_diff,playerAbilities,identity_source
Ja'Marr Chase,CIN,WR,99,95,73,92,97,92,99,21586,Ja'Marr,Chase,2000-03-01,72,205,99,LSU,1,25,1,4,"https://ratings-images-prod.pulse.ea.com/madden-nfl-26/portraits/1370.png?im=FaceCrop,padding=0.7",,9-week-8,Week 8 Ratings,94,0,92,0,98,0,96,0,73,0,99,0,98,0,37,0,29,0,88,0,71,0,95,0,98,0,97,0,98,0,10,0,27,0,46,0,92,0,90,0,17,0,24,0,60,0,27,0,13,0,96,0,99,0,37,0,20,0,26,0,10,0,17,0,10,0,15,0,36,0,97,0,56,0,30,0,34,0,Default,0,96,0,97,0,95,0,83,0,76,0,39,0,10,0,15,0,20,0,19,0,33,0,22,0,88,0,71,0,17,0,,rosters.csv
Josh Allen,BUF,QB,99,88,81,85,82,99,96,13197,Josh,Allen,1996-05-21,77,237,99,Wyoming,1,29,17,7,"https://ratings-images-prod.pulse.ea.com/madden-nfl-26/portraits/8800.png?im=FaceCrop,padding=0.7",,9-week-8,Week 8 Ratings,91,0,85,0,92,0,98,0,81,0,96,0,97,0,23,0,97,0,86,0,67,0,20,0,40,0,82,0,13,0,9,0,11,0,26,0,99,0,81,0,14,0,22,0,13,0,17,0,12,0,15,0,99,0,14,0,10,0,15,0,97,0,15,0,9,0,9,0,33,0,18,0,17,0,10,0,10,0,Default Stride Bread Loaf,0,22,0,23,0,88,0,78,0,83,0,32,0,90,0,89,0,96,0,98,0,98,0,95,0,98,0,76,0,18,0,,rosters.csv
Justin Jefferson,MIN,WR,99,91,64,95,98,94,99,20961,Justin,Jefferson,1999-06-16,73,195,99,LSU,1,26,18,5,"https://ratings-images-prod.pulse.ea.com/madden-nfl-26/portraits/385.png?im=FaceCrop,padding=0.7",,9-week-8,Week 8 Ratings,92,0,95,0,97,0,98,0,64,0,99,0,94,0,24,0,23,0,81,0,73,0,98,0,96,0,98,0,97,0,24,0,43,0,52,0,94,0,95,0,12,0,18,0,61,0,34,0,18,0,98,0,99,0,25,0,13,0,18,0,24,0,19,0,18,0,18,0,41,0,99,0,51,0,27,0,29,0,Long Stride Loose,0,98,0,99,0,91,0,81,0,75,0,36,0,24,0,30,0,35,0,33,0,43,0,29,0,87,0,65,0,26,0,,rosters.csv
Lane Johnson,PHI,OL,99,77,93,75,58,84,99,927,Lane,Johnson,1990-05-08,78,325,99,Oklahoma,1,35,65,12,"https://ratings-images-prod.pulse.ea.com/madden-nfl-26/portraits/5902.png?im=FaceCrop,padding=0.7",,9-week-8,Week 8 Ratings,78,0,75,0,82,0,88,0,93,0,99,0,60,0,56,0,39,0,30,0,67,0,58,0,64,0,58,0,25,0,60,0,60,0,95,0,84,0,54,0,22,0,25,0,10,0,96,0,12,0,33,0,99,0,98,0,94,0,98,0,39,0,29,0,53,0,10,0,55,0,45,0,97,0,96,0,98,0,Default,0,46,0,57,0,77,0,50,0,55,0,60,0,50,0,54,0,59,0,52,0,65,0,41,0,91,0,65,0,20,0,,rosters.csv
Myles Garrett,LA,DL,99,87,96,86,71,92,97,12520,Myles,Garrett,1995-12-29,76,272,99,Texas AM,1,29,95,8,"https://ratings-images-prod.pulse.ea.com/madden-nfl-26/portraits/8560.png?im=FaceCrop,padding=0.7",,9-week-8,Week 8 Ratings,90,0,86,0,94,0,89,0,96,0,97,0,39,0,96,0,12,0,34,0,55,0,21,0,52,0,71,0,4,0,93,1,84,0,90,0,92,0,36,0,20,0,20,0,10,0,17,0,51,0,8,0,99,0,45,0,45,0,45,0,10,0,94,0,99,1,44,0,97,0,31,0,45,0,45,0,45,0,Long Stride Default,0,15,0,25,0,87,0,40,0,48,0,92,0,27,0,30,0,31,0,23,0,55,0,16,0,87,0,36,0,51,0,,rosters.csv
Saquon Barkley,PHI,RB,99,95,81,95,94,91,99,13085,Saquon,Barkley,1997-02-09,72,227,99,Penn State,1,28,26,7,"https://ratings-images-prod.pulse.ea.com/madden-nfl-26/portraits/8813.png?im=FaceCrop,padding=0.7",,9-week-8,Week 8 Ratings,94,0,95,0,96,0,94,0,81,0,99,0,87,0,24,0,31,0,90,0,97,0,62,0,74,0,94,0,65,0,25,0,17,0,37,0,91,0,96,0,14,0,19,0,81,0,34,0,15,0,67,0,99,0,60,0,33,0,38,0,18,0,21,0,17,0,10,0,36,0,69,0,36,0,31,0,35,0,Default,0,75,0,73,0,95,0,95,0,88,0,28,0,29,0,34,0,41,0,36,0,41,0,18,0,90,0,84,0,13,0,,rosters.csv
George Kittle,SF,TE,98,87,82,83,77,88,98,12836,George,Kittle,1993-10-09,76,250,98,Iowa,1,31,85,8,"https://ratings-images-prod.pulse.ea.com/madden-nfl-26/portraits/8622.png?im=FaceCrop,padding=0.7",,9-week-8,Week 8 Ratings,87,0,83,0,90,0,94,0,82,0,98,0,92,0,31,0,18,0,81,0,75,0,88,0,95,0,77,0,77,0,18,0,38,0,78,0,88,0,82,0,22,0,19,0,31,0,65,0,15,0,80,0,98,0,62,0,58,0,62,0,10,0,35,0,20,0,20,0,36,0,84,0,77,0,71,0,76,0,Default Stride Loose,0,84,0,89,0,87,0,64,0,83,0,34,0,10,0,15,0,20,0,10,0,30,0,14,0,98,0,84,0,24,0,,rosters.csv
Lamar Jackson,BAL,QB,98,96,63,94,95,92,95,13092,Lamar,Jackson,1997-01-07,74,210,98,Louisville,1,28,8,7,"https://ratings-images-prod.pulse.ea.com/madden-nfl-26/portraits/8940.png?im=FaceCrop,padding=0.7",,9-week-8,Week 8 Ratings,95,0,94,0,91,0,93,0,63,0,95,0,98,0,16,0,98,0,82,0,70,0,17,0,64,0,95,0,13,0,10,0,27,0,29,0,92,0,91,0,19,0,12,0,10,0,21,0,12,0,15,0,98,0,13,0,13,0,13,0,98,0,10,0,12,0,10,0,38,0,17,0,14,0,14,0,14,0,Short Stride Default,0,20,0,15,0,96,0,83,0,80,0,35,0,85,0,96,0,97,0,99,0,93,0,98,0,96,0,39,0,12,0,,rosters.csv
Micah Parsons,GB,LB,98,90,89,90,77,93,97,21476,Micah,Parsons,1999-05-26,75,245,98,Penn State,1,26,1,4,"https://ratings-images-prod.pulse.ea.com/madden-nfl-26/portraits/1058.png?im=FaceCrop,padding=0.7",,9-week-8,Week 8 Ratings,95,0,90,0,85,0,90,0,89,0,97,0,71,0,81,0,12,0,57,0,69,0,44,0,62,0,77,0,31,0,98,0,84,0,84,0,93,0,71,0,20,0,20,0,60,0,20,0,61,0,36,0,98,0,45,0,45,0,45,0,6,0,95,0,91,0,57,0,94,0,36,0,45,0,45,0,45,0,Default Stride Loose,0,40,0,47,0,90,0,61,0,58,0,89,0,6,0,6,0,6,0,6,0,30,0,15,0,87,0,62,0,64,0,,rosters.csv
Dexter Lawrence II,CIN,DL,97,76,99,70,56,93,96,20552,Dexter,Lawrence II,1997-11-12,76,342,97,Clemson,1,27,97,6,"https://ratings-images-prod.pulse.ea.com/madden-nfl-26/portraits/9548.png?im=FaceCrop,padding=0.7",,9-week-8,Week 8 Ratings,79,0,70,0,74,0,89,0,99,0,96,0,35,0,96,-1,12,0,17,0,42,0,23,0,40,0,56,0,12,0,79,0,82,0,96,0,93,0,23,0,15,0,15,0,40,0,43,0,13,0,14,0,97,0,45,0,45,0,45,0,6,0,96,0,93,-1,14,0,91,0,12,0,45,0,45,0,45,0,Long Stride Loose,0,18,0,22,0,76,0,19,0,31,0,94,0,6,0,6,0,6,0,6,0,19,0,10,0,91,0,46,0,24,0,,rosters.csv
