season,season_type,game_type,team,week,gsis_id,position,full_name,first_name,last_name,report_primary_injury,report_status,practice_primary_injury,practice_secondary_injury,practice_status
2026,REG,REG,ARI,1,00-0034381,LB,Josh Sweat,Josh,Sweat,,,Not injury related - resting player,Knee,Did Not Participate In Practice
2026,REG,REG,ARI,1,00-0035859,P,Blake Gillikin,Blake,Gillikin,,,Groin,,Full Participation in Practice
2026,REG,REG,ARI,1,00-0039007,CB,Garrett Williams,Garrett,Williams,,,Achilles,,Limited Participation in Practice
2026,REG,REG,ARI,1,00-0039808,G,Isaiah Adams,Isaiah,Adams,,,Knee,,Did Not Participate In Practice
2026,REG,REG,ARI,1,00-0039864,S,Dadrion Taylor-Demerson,Dadrion,Taylor-Demerson,,,Ribs,,Limited Participation in Practice
2026,REG,REG,ARI,1,00-0040751,CB,Will Johnson,William,Johnson,,,Ankle,,Full Participation in Practice
2026,REG,REG,ARI,1,00-0041027,RB,Jeremiyah Love,Jeremiyah,Love,,,Ankle,,Limited Participation in Practice
2026,REG,REG,ATL,1,00-0031576,DE,Za'Darius Smith,Za'Darius,Smith,,,Shoulder,,Limited Participation in Practice
2026,REG,REG,ATL,1,00-0036354,G,Kyle Hinton,Kyle,Hinton,,,Knee,,Limited Participation in Practice
2026,REG,REG,ATL,1,00-0039859,DT,Brandon Dorlus,Brandon,Dorlus,,,Groin,,Limited Participation in Practice
2026,REG,REG,ATL,1,00-0039917,QB,Michael Penix Jr.,Michael,Penix,,,Knee,,Full Participation in Practice
2026,REG,REG,ATL,1,00-0040156,CB,Billy Bowman Jr.,Billy,Bowman,,,Achilles,,Limited Participation in Practice
2026,REG,REG,ATL,1,00-0041044,WR,Zachariah Branch,Zachariah,Branch,,,Hamstring,,Limited Participation in Practice
2026,REG,REG,BAL,1,00-0036130,DT,Nnamdi Madubuike,Justin,Madubuike,,,Neck,,Limited Participation in Practice
2026,REG,REG,BAL,1,00-0039064,WR,Zay Flowers,Xavien,Flowers,,,Hamstring,,Limited Participation in Practice
2026,REG,REG,BAL,1,00-0039792,WR,Devontez Walker,Devontez,Walker,,,Groin,,Limited Participation in Practice
2026,REG,REG,BAL,1,00-0040069,LB,Teddye Buchanan,Teddye,Buchanan,,,Knee,,Limited Participation in Practice
2026,REG,REG,BUF,1,00-0035537,RB,Ty Johnson,Ty,Johnson,,,Hamstring,,Did Not Participate In Practice
2026,REG,REG,BUF,1,00-0040192,CB,Jordan Hancock,Jordan,Hancock,,,Quadricep,,Did Not Participate In Practice
2026,REG,REG,BUF,1,00-0040724,DE,T.J. Sanders,Tanaeri,Sanders,,,Knee,,Limited Participation in Practice
2026,REG,REG,CAR,1,00-0036903,DT,Bobby Brown III,Bobby,Brown,,,Back,,Limited Participation in Practice
2026,REG,REG,CAR,1,00-0037007,LB,Patrick Jones II,Patrick,Jones,,,Back,,Did Not Participate In Practice
2026,REG,REG,CAR,1,00-0039344,RB,Jonathon Brooks,Jonathon,Brooks,,,Groin,,Limited Participation in Practice
2026,REG,REG,CHI,1,00-0038416,QB,Tyson Bagent,Tyson,Bagent,,,Back,,Did Not Participate In Practice
2026,REG,REG,CHI,1,00-0039919,WR,Rome Odunze,Rome,Odunze,,,Calf,,Limited Participation in Practice
2026,REG,REG,CHI,1,00-0040740,T,Ozzy Trapilo,Ozzy,Trapilo,,,Knee,,Limited Participation in Practice
2026,REG,REG,CIN,1,00-0036410,WR,Tee Higgins,Tamurice,Higgins,,,Foot,,Full Participation in Practice
2026,REG,REG,CIN,1,00-0036900,WR,Ja'Marr Chase,Ja'Marr,Chase,,,Knee,,Full Participation in Practice
2026,REG,REG,CIN,1,00-0040756,DE,Shemar Stewart,Shemar,Stewart,,,Knee,,Full Participation in Practice
2026,REG,REG,CLE,1,00-0033131,DT,Maliek Collins,Maliek,Collins,,,Quadricep,,Limited Participation in Practice
2026,REG,REG,CLE,1,00-0036953,G,Teven Jenkins,Teven,Jenkins,,,Back,,Limited Participation in Practice
2026,REG,REG,CLE,1,00-0040579,LB,Carson Schwesinger,Carson,Schwesinger,,,Shoulder,,Full Participation in Practice
2026,REG,REG,CLE,1,00-0041073,C,Parker Brailsford,Parker,Brailsford,,,Thumb,,Limited Participation in Practice
2026,REG,REG,DAL,1,00-0033093,DT,Jonathan Bullard,Jonathan,Bullard,,,Groin,,Full Participation in Practice
2026,REG,REG,DAL,1,00-0040017,T,Ajani Cornelius,Ajani,Cornelius,,,Knee,,Limited Participation in Practice
2026,REG,REG,DET,1,00-0038660,LB,Trevor Nowaske,Trevor,Nowaske,,,Knee,,Full Participation in Practice
2026,REG,REG,DET,1,00-0038820,S,Christian Izien,Christian,Izien,,,Groin,,Limited Participation in Practice
2026,REG,REG,DET,1,00-0039396,DT,Mekhi Wingo,Mekhi,Wingo,,,Groin,,Limited Participation in Practice
2026,REG,REG,DET,1,00-0039660,S,Thomas Harper,Thomas,Harper,,,Ankle,,Full Participation in Practice
2026,REG,REG,DET,1,00-0039862,CB,Ennis Rakestraw Jr.,Ennis,Rakestraw,,,Ankle,,Full Participation in Practice
