player_name,team_abbr,position,position_family,overall,trait_grade,performance_grade,performance_weight,availability_adjustment,macabets_rating,rating_confidence,rating_source,roster_status,injury_status,gsis_id,depth_chart_team_override,availability_state,definitively_unavailable,practice_participation,availability_updated_at_utc,availability_source,depth_chart_alias,depth_chart_verified_roles
Trey McBride,ARI,TE,TE,99.0,96.0,91.7375,0.08666666666666667,0.0,95.63,baseline,Madden 27 + nflverse performance,Active,,00-0037744,False,Active,False,,2026-09-15T15:01:49+00:00,Sleeper,,TE
Budda Baker,ARI,SS,DB,90.0,88.16,,0.0,0.0,88.16,baseline,Madden 27 baseline,Active,,00-0033890,False,Active,False,,2026-09-15T15:01:49+00:00,Sleeper,,SS
Paris Johnson Jr,ARI,LT,OL,86.0,86.11,,0.0,0.0,86.11,baseline,Madden 27 baseline,Active,,00-0038540,False,Active,False,,2026-09-15T15:01:49+00:00,Sleeper,,LT
Josh Sweat,ARI,EDGE,DL,85.0,84.39,,0.0,0.0,84.39,baseline,Madden 27 baseline,Active,,00-0034381,False,Active,False,,2026-09-15T15:01:49+00:00,Sleeper,,LDE
Hjalte Froholdt,ARI,C,OL,83.0,83.67,,0.0,0.0,83.67,baseline,Madden 27 baseline,Active,,00-0035258,False,Active,False,,2026-09-15T15:01:49+00:00,Sleeper,,C
Jeremiyah Love,ARI,HB,RB,82.0,83.24,79.65760869565217,0.0352,0.0,83.11,baseline,Madden 27 + nflverse performance,Active,,00-0041027,False,Active,False,,2026-09-15T15:01:49+00:00,Sleeper,,KR|RB
Tyler Allgeier,ARI,HB,RB,81.0,82.18,78.70652173913044,0.054400000000000004,0.0,81.99,baseline,Madden 27 + nflverse performance,Active,,00-0037263,False,Active,False,,2026-09-15T15:01:49+00:00,Sleeper,,RB
Michael Wilson,ARI,WR,WR,81.0,81.91,80.4271523178808,0.037333333333333336,0.0,81.85,baseline,Madden 27 + nflverse performance,Active,,00-0038559,False,Active,False,,2026-09-15T15:01:49+00:00,Sleeper,,PR|WR
Isaac Seumalo,ARI,LG,OL,81.0,81.55,,0.0,0.0,81.55,baseline,Madden 27 baseline,Active,,00-0032954,False,Active,False,,2026-09-15T15:01:49+00:00,Sleeper,,LG
James Conner,ARI,HB,RB,80.0,81.11,,0.0,0.0,81.11,baseline,Madden 27 baseline,Inactive,IR,00-0033553,False,Out,True,,2026-09-15T15:01:49+00:00,Sleeper,,RB
Marvin Harrison Jr,ARI,WR,WR,80.0,81.02,70.75165562913907,0.016,0.0,80.86,baseline,Madden 27 + nflverse performance,Active,,00-0039849,False,Active,False,,2026-09-15T15:01:49+00:00,Sleeper,,WR
Mack Wilson Sr,ARI,LB,LB,80.0,80.15,,0.0,0.0,80.15,baseline,Madden 27 baseline,Active,,00-0035144,False,Active,False,,2026-09-15T15:01:49+00:00,Sleeper,,MLB
Garrett Williams,ARI,CB,DB,78.0,79.18,,0.0,0.0,79.18,baseline,Madden 27 baseline,Active,Out,00-0039007,False,Out,True,,2026-09-15T15:01:49+00:00,Sleeper,,RCB
Trey Benson,ARI,HB,RB,77.0,79.12,,0.0,0.0,79.12,baseline,Madden 27 baseline,Inactive,IR,00-0039921,False,Out,True,,2026-09-15T15:01:49+00:00,Sleeper,,RB
Kendrick Bourne,ARI,WR,WR,77.0,78.37,83.56622516556291,0.04266666666666667,0.0,78.59,baseline,Madden 27 + nflverse performance,Active,,00-0033307,False,Active,False,,2026-09-15T15:01:49+00:00,Sleeper,,WR
Walter Nolen III,ARI,DT,DL,78.0,78.16,,0.0,0.0,78.16,baseline,Madden 27 baseline,Active,,00-0040706,False,Active,False,,2026-09-15T15:01:49+00:00,Sleeper,,RDT
Sean Murphy-Bunting,ARI,CB,DB,77.0,78.13,,0.0,0.0,78.13,baseline,Madden 27 baseline,,,,False,,False,,,,,
Will Johnson,ARI,CB,DB,77.0,78.12,,0.0,0.0,78.12,baseline,Madden 27 baseline,Active,,00-0040751,False,Active,False,,2026-09-15T15:01:49+00:00,Sleeper,,LCB
Chad Ryland,ARI,K,ST,75.0,78.0,,0.0,0.0,78.0,baseline,Madden 27 baseline,Active,,00-0038567,False,Active,False,,2026-09-15T15:01:49+00:00,Sleeper,,PK
Blake Gillikin,ARI,P,ST,74.0,77.0,,0.0,0.0,77.0,baseline,Madden 27 baseline,Active,,00-0035859,False,Active,False,,2026-09-15T15:01:49+00:00,Sleeper,,H|P
Zaven Collins,ARI,EDGE,DL,76.0,76.53,,0.0,0.0,76.53,baseline,Madden 27 baseline,Active,,00-0036933,False,Active,False,,2026-09-15T15:01:49+00:00,Sleeper,,SLB
Andrew Wingard,ARI,FS,DB,76.0,76.05,,0.0,0.0,76.05,baseline,Madden 27 baseline,Active,,00-0035378,False,Active,False,,2026-09-15T15:01:49+00:00,Sleeper,,FS
Chase Bisontis,ARI,RG,OL,75.0,76.03,,0.0,0.0,76.03,baseline,Madden 27 baseline,Inactive,IR,00-0041468,False,Out,True,,2026-09-15T15:01:49+00:00,Sleeper,,RG
Devin Duvernay,ARI,WR,WR,74.0,75.63,56.473509933774835,0.0,0.0,75.63,baseline,Madden 27 baseline,Active,,00-0036331,False,Active,False,,2026-09-15T15:01:49+00:00,Sleeper,,KR|PR|WR
Max Melton,ARI,CB,DB,74.0,75.28,,0.0,0.0,75.28,baseline,Madden 27 baseline,Active,,00-0039807,False,Active,False,,2026-09-15T15:01:49+00:00,Sleeper,,KR|SCB
Kei'Trel Clark,ARI,CB,DB,74.0,74.94,,0.0,0.0,74.94,baseline,Madden 27 baseline,Active,,00-0038984,False,Active,False,,2026-09-15T15:01:49+00:00,Sleeper,,LCB
Jacoby Brissett,ARI,QB,QB,72.0,74.71,78.01351351351352,0.0592,0.0,74.91,baseline,Madden 27 + nflverse performance,Active,,00-0033119,False,Active,False,,2026-09-15T15:01:49+00:00,Sleeper,,QB
Baron Browning,ARI,EDGE,DL,73.0,74.0,,0.0,0.0,74.0,baseline,Madden 27 baseline,Active,,00-0036995,False,Active,False,,2026-09-15T15:01:49+00:00,Sleeper,,SLB
Starling Thomas V,ARI,CB,DB,73.0,73.95,,0.0,0.0,73.95,baseline,Madden 27 baseline,DEV,,00-0038663,False,,False,,,,,
Jordan Burch,ARI,EDGE,DL,73.0,73.6,,0.0,0.0,73.6,baseline,Madden 27 baseline,Active,,00-0040137,False,Active,False,,2026-09-15T15:01:49+00:00,Sleeper,,LDE
Isaiah Oliver,ARI,SS,DB,72.0,73.55,,0.0,0.0,73.55,baseline,Madden 27 baseline,,,,False,,False,,,,,
Matt Pryor,ARI,RG,OL,72.0,73.51,,0.0,0.0,73.51,baseline,Madden 27 baseline,Active,,00-0034417,False,Active,False,,2026-09-15T15:01:49+00:00,Sleeper,,
Andrew Billings,ARI,DT,DL,73.0,73.34,,0.0,0.0,73.34,baseline,Madden 27 baseline,Active,Out,00-0033066,False,Out,True,,2026-09-15T15:01:49+00:00,Sleeper,,LDT
Roy Lopez,ARI,DT,DL,72.0,73.1,,0.0,0.0,73.1,baseline,Madden 27 baseline,Active,,00-0036568,False,Active,False,,2026-09-15T15:01:49+00:00,Sleeper,,LDT
Jack Gibbens,ARI,LB,LB,72.0,73.09,,0.0,0.0,73.09,baseline,Madden 27 baseline,Active,,00-0037596,False,Active,False,,2026-09-15T15:01:49+00:00,Sleeper,,WLB
Bam Knight,ARI,HB,RB,70.0,73.0,,0.0,0.0,73.0,baseline,Madden 27 baseline,ACT,,00-0037157,False,,False,,,,,RB
Gardner Minshew,ARI,QB,QB,70.0,73.0,,0.0,0.0,73.0,baseline,Madden 27 baseline,Active,,00-0035289,False,Active,False,,2026-09-15T15:01:49+00:00,Sleeper,,QB
Dadrion Taylor-Demerson,ARI,FS,DB,72.0,72.99,,0.0,0.0,72.99,baseline,Madden 27 baseline,Active,Out,00-0039864,False,Out,True,,2026-09-15T15:01:49+00:00,Sleeper,,SS
Elijah Wilkinson,ARI,RT,OL,71.0,72.67,,0.0,0.0,72.67,baseline,Madden 27 baseline,Active,,00-0033676,False,Active,False,,2026-09-15T15:01:49+00:00,Sleeper,,RT
Denzel Burke,ARI,CB,DB,71.0,72.62,,0.0,0.0,72.62,baseline,Madden 27 baseline,Active,,00-0040195,False,Active,False,,2026-09-15T15:01:49+00:00,Sleeper,,RCB
