player_id,player_display_name,player_name,position,position_group,team,season,week,season_type,attempts,completions,passing_yards,passing_tds,carries,rushing_yards,rushing_tds,targets,receptions,receiving_yards,receiving_tds,passing_epa,rushing_epa,receiving_epa,target_share,air_yards_share,wopr,macabets_performance_cap,macabets_requested_season,macabets_active_season,macabets_is_fallback
00-0023459,Aaron Rodgers,A.Rodgers,QB,QB,PIT,2025,1,REG,30,22,244,4,1,-1,0,0,0,0,0,10.20475524963341,-1.8739020673092455,,0.0,0.0,0.0,0.2,2026,2025,True
00-0023853,Matt Prater,M.Prater,K,SPEC,BUF,2025,1,REG,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.2,2026,2025,True
00-0025565,Nick Folk,N.Folk,K,SPEC,NYJ,2025,1,REG,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.2,2026,2025,True
00-0026158,Joe Flacco,J.Flacco,QB,QB,CLE,2025,1,REG,45,31,290,1,2,6,0,0,0,0,0,-1.8421275162300694,0.13438333320664242,,0.0,0.0,0.0,0.2,2026,2025,True
00-0026190,Calais Campbell,C.Campbell,DE,DL,ARI,2025,1,REG,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.2,2026,2025,True
00-0026498,Matthew Stafford,M.Stafford,QB,QB,LA,2025,1,REG,29,21,245,1,4,-2,0,0,0,0,0,6.090108856966253,-6.176066547748633,,0.0,0.0,0.0,0.2,2026,2025,True
00-0026858,Graham Gano,G.Gano,K,SPEC,NYG,2025,1,REG,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.2,2026,2025,True
00-0027114,Thomas Morstead,T.Morstead,P,SPEC,SF,2025,1,REG,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.2,2026,2025,True
00-0027857,Trent Williams,T.Williams,OT,OL,SF,2025,1,REG,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.2,2026,2025,True
00-0027940,Von Miller,V.Miller,OLB,LB,WAS,2025,1,REG,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.2,2026,2025,True
00-0027962,Cameron Jordan,C.Jordan,LB,LB,NO,2025,1,REG,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.2,2026,2025,True
00-0027969,Cameron Heyward,Ca.Heyward,DE,DL,PIT,2025,1,REG,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.2,2026,2025,True
00-0028292,Nick Bellore,N.Bellore,LB,LB,WAS,2025,1,REG,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.2,2026,2025,True
00-0028872,Johnny Hekker,J.Hekker,P,SPEC,TEN,2025,1,REG,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.2,2026,2025,True
00-0029255,Bobby Wagner,B.Wagner,MLB,LB,WAS,2025,1,REG,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.2,2026,2025,True
00-0029263,Russell Wilson,R.Wilson,QB,QB,NYG,2025,1,REG,37,17,168,0,8,44,0,0,0,0,0,-11.39383654077999,2.0431199607555754,,0.0,0.0,0.0,0.2,2026,2025,True
00-0029562,Lavonte David,L.David,OLB,LB,TB,2025,1,REG,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.2,2026,2025,True
