team_abbr,offensive_plays,pass_rate,offense_explosive_rate,plays_per_game,early_down_pass_rate,neutral_early_down_pass_rate,defense_explosive_allowed,pressure_rate_allowed,pressure_rate,red_zone_td_rate,red_zone_td_rate_allowed,seconds_per_play,no_huddle_rate,motion_rate,play_action_rate,rpo_rate,blitz_rate,man_rate,zone_rate,team,season,through_week,data_source,updated_at_utc
ARI,69,0.5507246376811594,0.07246376811594203,69.0,0.5178571428571429,0.6222222222222222,0.0784313725490196,0.13157894736842105,0.13333333333333333,0.4,0.6666666666666666,33.224489795918366,0.057971014492753624,0.6521739130434783,0.07246376811594203,0.028985507246376812,0.0784313725490196,,,Arizona Cardinals,2026,1,nflverse play-by-play + FTN charting/participation when available,2026-09-15T15:01:42+00:00
ATL,57,0.45614035087719296,0.10526315789473684,57.0,0.4,0.4146341463414634,0.06557377049180328,0.19230769230769232,0.13953488372093023,1.0,0.5,31.973684210526315,0.03508771929824561,0.7543859649122807,0.05263157894736842,0.017543859649122806,0.06557377049180328,,,Atlanta Falcons,2026,1,nflverse play-by-play + FTN charting/participation when available,2026-09-15T15:01:42+00:00
BAL,60,0.43333333333333335,0.15,60.0,0.37254901960784315,0.42857142857142855,0.1320754716981132,0.11538461538461539,0.2727272727272727,0.8333333333333334,1.0,34.15,0.016666666666666666,0.7333333333333333,0.16666666666666666,0.08333333333333333,0.20754716981132076,,,Baltimore Ravens,2026,1,nflverse play-by-play + FTN charting/participation when available,2026-09-15T15:01:42+00:00
BUF,52,0.6153846153846154,0.15384615384615385,52.0,0.5609756097560976,0.5609756097560976,0.1095890410958904,0.09375,0.21951219512195122,0.6666666666666666,0.8,28.72972972972973,0.019230769230769232,0.4423076923076923,0.1346153846153846,0.038461538461538464,0.1780821917808219,,,Buffalo Bills,2026,1,nflverse play-by-play + FTN charting/participation when available,2026-09-15T15:01:42+00:00
CAR,62,0.6451612903225806,0.12903225806451613,62.0,0.5961538461538461,0.5757575757575758,0.12857142857142856,0.125,0.0967741935483871,1.0,1.0,26.097560975609756,0.08064516129032258,0.5967741935483871,0.14516129032258066,0.06451612903225806,0.2571428571428571,,,Carolina Panthers,2026,1,nflverse play-by-play + FTN charting/participation when available,2026-09-15T15:01:42+00:00
CHI,70,0.44285714285714284,0.12857142857142856,70.0,0.4,0.47619047619047616,0.12903225806451613,0.0967741935483871,0.125,1.0,1.0,31.23404255319149,0.05714285714285714,0.5571428571428572,0.18571428571428572,0.02857142857142857,0.20967741935483872,,,Chicago Bears,2026,1,nflverse play-by-play + FTN charting/participation when available,2026-09-15T15:01:42+00:00
CIN,62,0.5806451612903226,0.11290322580645161,62.0,0.5416666666666666,0.6666666666666666,0.058823529411764705,0.16666666666666666,0.1875,0.4,0.5,32.2,0.04838709677419355,0.4838709677419355,0.06451612903225806,0.0967741935483871,0.0392156862745098,,,Cincinnati Bengals,2026,1,nflverse play-by-play + FTN charting/participation when available,2026-09-15T15:01:42+00:00
CLE,49,0.5510204081632653,0.08163265306122448,49.0,0.5384615384615384,0.42857142857142855,0.16981132075471697,0.3333333333333333,0.125,0.3333333333333333,1.0,32.432432432432435,0.04081632653061224,0.32653061224489793,0.16326530612244897,0.04081632653061224,0.03773584905660377,,,Cleveland Browns,2026,1,nflverse play-by-play + FTN charting/participation when available,2026-09-15T15:01:42+00:00
DAL,52,0.6538461538461539,0.019230769230769232,52.0,0.6097560975609756,0.4782608695652174,0.06153846153846154,0.08823529411764706,0.16129032258064516,1.0,0.8,25.871794871794872,0.09615384615384616,0.6538461538461539,0.09615384615384616,0.057692307692307696,0.12307692307692308,,,Dallas Cowboys,2026,1,nflverse play-by-play + FTN charting/participation when available,2026-09-15T15:01:42+00:00
DEN,46,0.6956521739130435,0.021739130434782608,46.0,0.6363636363636364,0.7222222222222222,0.109375,0.21875,0.1724137931034483,0.5,0.6666666666666666,31.76923076923077,,,,,,,,Denver Broncos,2026,1,nflverse play-by-play + FTN charting/participation when available,2026-09-15T15:01:42+00:00
DET,73,0.547945205479452,0.1095890410958904,73.0,0.48333333333333334,0.475,0.09302325581395349,0.2,0.14754098360655737,0.8,0.8,32.15384615384615,0.0136986301369863,0.589041095890411,0.1917808219178082,0.0,0.313953488372093,,,Detroit Lions,2026,1,nflverse play-by-play + FTN charting/participation when available,2026-09-15T15:01:42+00:00
GB,67,0.6865671641791045,0.13432835820895522,67.0,0.6415094339622641,0.6,0.03389830508474576,0.32608695652173914,0.17857142857142858,0.3333333333333333,0.8333333333333334,26.238095238095237,0.14925373134328357,0.5373134328358209,0.13432835820895522,0.014925373134328358,0.1016949152542373,,,Green Bay Packers,2026,1,nflverse play-by-play + FTN charting/participation when available,2026-09-15T15:01:42+00:00
HOU,73,0.5616438356164384,0.1095890410958904,73.0,0.5818181818181818,0.5818181818181818,0.15384615384615385,0.21951219512195122,0.09375,0.8,0.6666666666666666,30.1,0.0821917808219178,0.4383561643835616,0.1232876712328767,0.0547945205479452,0.019230769230769232,,,Houston Texans,2026,1,nflverse play-by-play + FTN charting/participation when available,2026-09-15T15:01:42+00:00
IND,53,0.6226415094339622,0.1320754716981132,53.0,0.5952380952380952,0.6,0.15,0.2727272727272727,0.11538461538461539,1.0,0.8333333333333334,31.864864864864863,0.1320754716981132,0.6981132075471698,0.11320754716981132,0.05660377358490566,0.13333333333333333,,,Indianapolis Colts,2026,1,nflverse play-by-play + FTN charting/participation when available,2026-09-15T15:01:42+00:00
JAX,53,0.4528301886792453,0.16981132075471697,53.0,0.4772727272727273,0.42857142857142855,0.08163265306122448,0.125,0.3333333333333333,1.0,0.3333333333333333,33.68571428571428,0.07547169811320754,0.5094339622641509,0.18867924528301888,0.018867924528301886,0.12244897959183673,,,Jacksonville Jaguars,2026,1,nflverse play-by-play + FTN charting/participation when available,2026-09-15T15:01:42+00:00
KC,64,0.453125,0.109375,64.0,0.41304347826086957,0.4827586206896552,0.021739130434782608,0.1724137931034483,0.21875,0.6666666666666666,0.5,32.857142857142854,,,,,,,,Kansas City Chiefs,2026,1,nflverse play-by-play + FTN charting/participation when available,2026-09-15T15:01:42+00:00
LV,64,0.46875,0.078125,64.0,0.43137254901960786,0.5625,0.14,0.06666666666666667,0.28125,0.75,0.3333333333333333,31.5,0.015625,0.578125,0.140625,0.03125,0.1,,,Las Vegas Raiders,2026,1,nflverse play-by-play + FTN charting/participation when available,2026-09-15T15:01:42+00:00
LAC,51,0.5882352941176471,0.0784313725490196,51.0,0.525,0.45161290322580644,0.07246376811594203,0.13333333333333333,0.13157894736842105,0.6666666666666666,0.4,31.666666666666668,0.0196078431372549,0.8431372549019608,0.21568627450980393,0.0196078431372549,0.2028985507246377,,,Los Angeles Chargers,2026,1,nflverse play-by-play + FTN charting/participation when available,2026-09-15T15:01:42+00:00
LA,56,0.5,0.07142857142857142,56.0,0.45454545454545453,0.35714285714285715,0.09375,0.2857142857142857,0.058823529411764705,0.3333333333333333,0.75,29.8,0.125,0.48214285714285715,0.08928571428571429,0.0,0.0625,,,Los Angeles Rams,2026,1,nflverse play-by-play + FTN charting/participation when available,2026-09-15T15:01:42+00:00
MIA,50,0.64,0.14,50.0,0.5897435897435898,0.4666666666666667,0.078125,0.28125,0.06666666666666667,0.3333333333333333,0.75,28.705882352941178,0.02,0.66,0.1,0.02,0.0625,,,Miami Dolphins,2026,1,nflverse play-by-play + FTN charting/participation when available,2026-09-15T15:01:42+00:00
MIN,59,0.4745762711864407,0.03389830508474576,59.0,0.36363636363636365,0.3783783783783784,0.13432835820895522,0.17857142857142858,0.32608695652173914,0.8333333333333334,0.3333333333333333,32.861111111111114,0.06779661016949153,0.6949152542372882,0.15254237288135594,0.0,0.11940298507462686,,,Minnesota Vikings,2026,1,nflverse play-by-play + FTN charting/participation when available,2026-09-15T15:01:42+00:00
NE,67,0.5373134328358209,0.04477611940298507,67.0,0.46938775510204084,0.4888888888888889,0.1276595744680851,0.16666666666666666,0.23076923076923078,0.5,0.3333333333333333,30.327272727272728,0.0,0.5074626865671642,0.13432835820895522,0.029850746268656716,0.23404255319148937,,,New England Patriots,2026,1,nflverse play-by-play + FTN charting/participation when available,2026-09-15T15:01:42+00:00
NO,86,0.7093023255813954,0.09302325581395349,86.0,0.696969696969697,0.6666666666666666,0.1095890410958904,0.14754098360655737,0.2,0.8,0.8,25.923076923076923,0.22093023255813954,0.5813953488372093,0.11627906976744186,0.046511627906976744,0.0821917808219178,,,New Orleans Saints,2026,1,nflverse play-by-play + FTN charting/participation when available,2026-09-15T15:01:42+00:00
NYG,65,0.47692307692307695,0.06153846153846154,65.0,0.43636363636363634,0.5,0.019230769230769232,0.16129032258064516,0.08823529411764706,0.8,1.0,32.644444444444446,0.015384615384615385,0.676923076923077,0.15384615384615385,0.03076923076923077,0.09615384615384616,,,New York Giants,2026,1,nflverse play-by-play + FTN charting/participation when available,2026-09-15T15:01:42+00:00
