team_abbr,plays,offense_epa_per_play,offense_success_rate,offense_explosive_rate,offense_turnover_rate,defense_epa_allowed,defense_success_allowed,defense_explosive_allowed,defense_takeaway_rate,qb_epa_per_dropback,qb_success_rate,offense_sack_rate,offense_qb_hit_rate,offense_disruption_rate,qb_cpoe,qb_epa_when_disrupted,qb_success_when_disrupted,qb_epa_when_clean,rush_epa,rush_success,offense_run_stuff_rate,defense_sack_rate,defense_qb_hit_rate,defense_disruption_rate,rush_epa_allowed,rush_success_allowed,defense_run_stuff_rate,pass_epa_allowed,pass_success_allowed,pass_explosive_allowed,third_down_conversion_rate,third_down_conversion_allowed,red_zone_td_rate,red_zone_td_rate_allowed,high_leverage_epa,high_leverage_success,high_leverage_plays,high_leverage_epa_allowed,high_leverage_success_allowed,special_teams_epa,sos_opponent_net_epa,sos_opponent_offense_epa,sos_opponent_defense_epa_allowed,opponent_quality_epa,opponent_adjusted_offense_epa,opponent_adjusted_defense_epa,opponent_adjusted_net_epa,offense,defense,quarterback,offensive_line,defensive_line,secondary,strength_of_schedule,special_teams,recent_form,recent_performance,recent_results,team,season,through_week,games_or_sample_plays,data_source,updated_at_utc
ARI,1074,-0.018504273106814365,0.4301675977653631,0.0782122905027933,0.017690875232774673,0.08844167027998047,0.4852801519468186,0.10826210826210826,0.017094017094017096,0.002297555924905471,0.44366197183098594,0.08309859154929577,0.18169014084507043,0.18450704225352113,1.033828623677382,-1.0083157410002768,0.17557251908396945,0.2309509961618638,-0.059079269295059106,0.40384615384615385,0.19230769230769232,0.05025125628140704,0.11557788944723618,0.12060301507537688,0.007978458872622446,0.44956140350877194,0.1600877192982456,0.14990100763635444,0.5125628140703518,0.08710217755443886,0.41517857142857145,0.44776119402985076,0.5588235294117647,0.6666666666666666,-0.17976702849128354,0.36036036036036034,111,0.038110107106561965,0.47368421052631576,0.004603187680210358,0.03454585690818061,0.027302123547208863,-0.0026337152265114815,0.029935838773720344,-0.015870557880302883,-0.06113954673277161,-0.07701010461307449,59.0625,53.2265625,68.4140625,56.7421875,55.8984375,52.734375,88.59375,50.625,49.78125,50.625,47.8125,Arizona Cardinals,2025,18,1074,nflverse play-by-play,2026-08-18T11:05:26+00:00
ATL,1036,-0.02136928813240201,0.4372586872586873,0.09749034749034749,0.015444015444015444,-0.0037385968401176073,0.44603629417383,0.09551098376313276,0.02005730659025788,-0.013172064414485016,0.44658493870402804,0.04553415061295972,0.12784588441331,0.13134851138353765,-3.2166077653107616,-0.8178537464592854,0.17333333333333334,0.10850359315277312,-0.03143512628924202,0.4258064516129032,0.16129032258064516,0.09661016949152543,0.15254237288135594,0.15593220338983052,0.028343000178260136,0.45076586433260396,0.1422319474835886,-0.028588240632318664,0.4423728813559322,0.08305084745762711,0.33658536585365856,0.4009216589861751,0.631578947368421,0.6153846153846154,0.04277935437247826,0.441747572815534,206,-0.038330132027005526,0.4457831325301205,0.05430038009131085,-0.013086458997697026,0.005491158404926675,0.016376385059689125,-0.01088522665476245,-0.037745673192091135,0.009229755245044283,-0.028515917947046852,63.984375,68.9765625,62.3671875,75.1640625,69.3984375,71.296875,60.46875,63.28125,72.140625,67.5,82.96875,Atlanta Falcons,2025,18,1036,nflverse play-by-play,2026-08-18T11:05:26+00:00
BAL,956,0.03395644600975792,0.4456066945606695,0.1192468619246862,0.02301255230125523,0.025093652419300422,0.44196843082636955,0.10306406685236769,0.017641597028783658,-0.03502695970646121,0.45278969957081544,0.09656652360515021,0.1781115879828326,0.18454935622317598,2.992383696376838,-1.0634727528434782,0.13953488372093023,0.19772656189823212,0.09956107267048876,0.4387755102040816,0.1510204081632653,0.04559270516717325,0.1458966565349544,0.14893617021276595,-0.05200065595614184,0.4224343675417661,0.16467780429594273,0.07418562082250758,0.45440729483282677,0.0972644376899696,0.4129353233830846,0.3815789473684211,0.5974025974025974,0.5394736842105263,0.09239198241750522,0.4263565891472868,129,0.19069541793050482,0.45054945054945056,0.14862363874035397,0.01239194257557913,0.007285988215199156,-0.0007778035334119967,0.008063791748611153,0.034734249543169914,-0.017807664204101264,0.01692658533906865,73.8984375,64.546875,66.3046875,63.28125,63.84375,61.03125,74.53125,80.15625,72.0,74.53125,66.09375,Baltimore Ravens,2025,18,956,nflverse play-by-play,2026-08-18T11:05:26+00:00
BUF,1065,0.13554123400200885,0.48544600938967136,0.12112676056338029,0.016901408450704224,-0.016306447656646232,0.4242105263157895,0.10842105263157895,0.021052631578947368,0.159919139263954,0.47697974217311234,0.07366482504604052,0.1289134438305709,0.13075506445672191,3.819331445873157,-0.9288307977612082,0.14084507042253522,0.3236929645368068,0.11018260841343366,0.4942528735632184,0.12260536398467432,0.07128712871287128,0.1702970297029703,0.1782178217821782,0.09415903964942468,0.4584269662921348,0.1797752808988764,-0.11364732260952058,0.3940594059405941,0.07524752475247524,0.4585365853658537,0.41379310344827586,0.7228915662650602,0.6825396825396826,0.10282073447426905,0.4491017964071856,167,-0.19574370943636896,0.390625,0.08348561999565517,-0.025558788719274948,-0.014725350756101997,0.01610261983883012,-0.030827970594932114,0.11943861416317873,0.0015810969005442353,0.12101971106372297,86.34375,71.3671875,82.546875,74.953125,63.6328125,81.984375,53.4375,71.71875,84.09375,85.78125,80.15625,Buffalo Bills,2025,18,1065,nflverse play-by-play,2026-08-18T11:05:26+00:00
CAR,996,-0.039269151837893694,0.4307228915662651,0.08835341365461848,0.02208835341365462,0.0672927544774727,0.44288577154308617,0.08917835671342686,0.01903807615230461,-0.04982038479147207,0.4283121597096189,0.06352087114337568,0.1560798548094374,0.15789473684210525,1.4186954436202843,-0.8055526346554139,0.22988505747126436,0.09187941205801704,-0.026204591484137105,0.4337078651685393,0.13707865168539327,0.056074766355140186,0.09906542056074766,0.10093457943925234,0.022955933173264425,0.4103671706263499,0.13174946004319654,0.10566275123232957,0.47102803738317756,0.07850467289719626,0.3645320197044335,0.47596153846153844,0.5892857142857143,0.5970149253731343,-0.02880518152209412,0.34285714285714286,140,0.007563104560722717,0.4339622641509434,0.09702723080181834,0.009808622570099214,0.020774506107849172,0.012713769253111802,0.00806073685473737,-0.051982921091005496,-0.046518248369623524,-0.09850116946062902,57.7265625,65.4609375,59.625,66.9375,57.8671875,62.578125,70.3125,73.125,59.203125,60.46875,56.25,Carolina Panthers,2025,18,996,nflverse play-by-play,2026-08-18T11:05:26+00:00
CHI,1096,0.07946514233862358,0.458029197080292,0.11587591240875912,0.010036496350364963,0.01809277179963194,0.46673189823874756,0.11741682974559686,0.03228962818003914,0.08020325625508656,0.43333333333333335,0.04,0.11166666666666666,0.11333333333333333,-3.426057128305722,-0.8707116058989562,0.16176470588235295,0.20174876495146798,0.07857226260096672,0.4879032258064516,0.13911290322580644,0.06140350877192982,0.14035087719298245,0.14210526315789473,0.0014998506998705526,0.4557522123893805,0.1415929203539823,0.03125066712786378,0.47543859649122805,0.10701754385964912,0.42543859649122806,0.4083769633507853,0.6571428571428571,0.6527777777777778,0.23951775650650298,0.49696969696969695,165,0.099593930116547,0.46703296703296704,0.04890228559164889,-0.01853656578487891,0.004262320853107021,0.013569584177637716,-0.009307263324530695,0.06589555816098586,-0.01383045094652492,0.052065107214460934,81.3515625,62.578125,67.078125,86.34375,60.1171875,60.046875,54.84375,61.875,66.375,68.90625,60.46875,Chicago Bears,2025,18,1096,nflverse play-by-play,2026-08-18T11:05:26+00:00
CIN,1049,-0.008453729912901858,0.4547187797902765,0.08007626310772165,0.022878932316491896,0.12981742202495908,0.4782608695652174,0.1178743961352657,0.020289855072463767,-0.026592123417829617,0.4549483013293944,0.053175775480059084,0.14771048744460857,0.14918759231905465,1.2188274511381199,-1.0386834127096782,0.15841584158415842,0.1508752727948036,0.024556195901173652,0.4543010752688172,0.10483870967741936,0.06129597197898424,0.13660245183887915,0.138353765323993,0.08688547732208557,0.46120689655172414,0.10560344827586207,0.16470432630190004,0.4921190893169877,0.10507880910683012,0.44036697247706424,0.4405940594059406,0.7272727272727273,0.6891891891891891,-0.08011447713065556,0.4722222222222222,144,0.18171435055988075,0.4863013698630137,0.13851129741982676,0.010553281102469407,0.007085297343674334,-0.0016284725770198557,0.008713769920694189,-0.006825257335882002,-0.12273212468128475,-0.12955738201716674,65.390625,53.5078125,65.4609375,77.4140625,54.703125,51.046875,73.125,77.34375,76.78125,80.15625,68.90625,Cincinnati Bengals,2025,18,1049,nflverse play-by-play,2026-08-18T11:05:26+00:00
CLE,1028,-0.19022793436959276,0.3453307392996109,0.07392996108949416,0.023346303501945526,-0.09583888060725897,0.4024144869215292,0.08953722334004025,0.01609657947686117,-0.2882166655292788,0.3284072249589491,0.08374384236453201,0.2200328407224959,0.22167487684729065,-5.6806103565455395,-1.1832324882189977,0.13333333333333333,-0.03330709577587787,-0.047805172373772215,0.36992840095465396,0.2052505966587112,0.09814814814814815,0.19074074074074074,0.1925925925925926,-0.0534142344570612,0.3788546255506608,0.20044052863436124,-0.13150700903724005,0.4222222222222222,0.07962962962962963,0.33617021276595743,0.36771300448430494,0.5531914893617021,0.6451612903225806,-0.36452132278597044,0.34959349593495936,123,-0.2501153528442603,0.3591549295774648,-0.08220669601906179,-0.03252894907082436,0.004192591435461258,0.03942976379163443,-0.03523717235617317,-0.2296576981612272,0.10003147204272023,-0.12962622611850697,48.0234375,80.71875,46.40625,53.296875,86.765625,81.140625,49.21875,46.40625,62.859375,59.0625,71.71875,Cleveland Browns,2025,18,1028,nflverse play-by-play,2026-08-18T11:05:26+00:00
DAL,1104,0.09783384593536022,0.46648550724637683,0.09239130434782608,0.019021739130434784,0.16738784892869088,0.48880233690360275,0.11879259980525804,0.010710808179162609,0.16145002004478107,0.4778625954198473,0.04732824427480916,0.1465648854961832,0.1465648854961832,2.1790431152654834,-0.5027560166724437,0.2604166666666667,0.27551760416795384,0.00503074116549243,0.44988864142538976,0.1291759465478842,0.05902192242833052,0.17706576728499157,0.18381112984822934,0.09469445393981685,0.47235023041474655,0.17050691244239632,0.22059009753774875,0.5008431703204047,0.09780775716694773,0.4195121951219512,0.475,0.6233766233766234,0.7195121951219512,0.1516360459740223,0.44755244755244755,143,0.27632129821256934,0.48951048951048953,0.14617835280794067,-0.025743332425288742,-0.004231222649235058,0.02393516055799853,-0.028166383207233588,0.07389868537736169,-0.17161907157792594,-0.09772038620056425,79.453125,46.8984375,82.828125,77.203125,58.078125,49.078125,52.03125,78.75,53.4375,53.4375,53.4375,Dallas Cowboys,2025,18,1104,nflverse play-by-play,2026-08-18T11:05:26+00:00
DEN,1079,0.049696955932446295,0.44207599629286376,0.09082483781278962,0.013901760889712697,-0.08791844675771378,0.36682464454976305,0.06635071090047394,0.012322274881516588,0.08349088529900328,0.440625,0.0359375,0.109375,0.1125,-1.3255467357700819,-0.7774446812180602,0.19444444444444445,0.19262356274482823,0.00043017963496003343,0.44419134396355353,0.16400911161731208,0.1033434650455927,0.22644376899696048,0.22948328267477203,-0.04282569587742044,0.38287153652392947,0.1889168765743073,-0.11512486332226766,0.35714285714285715,0.060790273556231005,0.41379310344827586,0.33755274261603374,0.6323529411764706,0.47540983606557374,-0.010532901412008454,0.39593908629441626,197,-0.225855907336102,0.30303030303030304,0.045843741865417904,-0.044113860667195685,-0.015221468027471673,0.02310994698469646,-0.038331415012168135,0.026587008947749836,0.07269697873024211,0.09928398767799194,73.1953125,83.1796875,72.0,82.828125,86.2734375,86.484375,47.8125,60.46875,81.5625,81.5625,81.5625,Denver Broncos,2025,18,1079,nflverse play-by-play,2026-08-18T11:05:26+00:00
