season,week,team,season_type,game_id,opponent_team,completions,attempts,passing_yards,passing_tds,passing_interceptions,sacks_suffered,sack_yards_lost,sack_fumbles,sack_fumbles_lost,passing_air_yards,passing_yards_after_catch,passing_first_downs,passing_epa,passing_cpoe,passing_2pt_conversions,passing_10,passing_16,passing_20,passing_40,carries,rushing_yards,rushing_tds,rushing_fumbles,rushing_fumbles_lost,rushing_first_downs,rushing_epa,rushing_2pt_conversions,rushing_10,rushing_12,rushing_20,rushing_40,receptions,targets,receiving_yards,receiving_tds,receiving_fumbles,receiving_fumbles_lost,receiving_air_yards,receiving_yards_after_catch,receiving_first_downs,receiving_epa,receiving_2pt_conversions,receiving_10,receiving_16,receiving_20,receiving_40,special_teams_tds,def_tackles_solo,def_tackles_with_assist,def_tackle_assists,def_tackles_for_loss,def_tackles_for_loss_yards,def_fumbles_forced,def_sacks,def_sack_yards,def_qb_hits,def_interceptions,def_interception_yards,def_pass_defended,def_tds,def_fumbles,def_safeties,def_punt_blocks,def_pat_blocks,def_fg_blocks,def_2pt_atts,def_2pt_made,misc_yards,fumble_recovery_own,fumble_recovery_yards_own,fumble_recovery_opp,fumble_recovery_yards_opp,fumble_recovery_tds,penalties,penalty_yards,timeouts,fumbles_forced_by_opp,fumbles_not_forced,fumbles_out_of_bounds,fumbles_total,fumbles_lost_total,punt_returns,punt_return_yards,kickoff_returns,kickoff_return_yards,fg_made,fg_att,fg_missed,fg_blocked,fg_long,fg_pct,fg_made_0_19,fg_made_20_29,fg_made_30_39,fg_made_40_49,fg_made_50_59,fg_made_60_,fg_missed_0_19,fg_missed_20_29,fg_missed_30_39,fg_missed_40_49,fg_missed_50_59,fg_missed_60_,fg_made_list,fg_missed_list,fg_blocked_list,fg_made_distance,fg_missed_distance,fg_blocked_distance,pat_made,pat_att,pat_missed,pat_blocked,pat_pct,gwfg_made,gwfg_att,gwfg_missed,gwfg_blocked,gwfg_distance,pt_att,pt_blocked,pt_long,pt_yards,pt_inside_20,pt_out_of_bounds,pt_downed,pt_touchback,pt_fair_caught,pt_returned,pt_return_yards,pt_return_tds,pt_net_yards
2026,1,ARI,REG,2026_01_ARI_LAC,LAC,27,37,277,1,0,1,0,0,0,283,98,15,9.012864685153245,4.605903093879287,0,13,4,2,0,34,116,1,0,0,7,-0.5958587992174398,0,3,1,0,0,27,37,277,1,0,0,283,98,15,10.60898277023959,0,13,4,2,0,0,33,1,19,5,22,1,3.0,22.0,5,1,0,6,0,0,0,1,0,0,0,0,0,0,0,1,0,0,8,111,3,0,0,0,0,0,0,0,3,69,4,5,1,0,49.0,0.8,0,1,1,2,0,0,0,0,0,0,1,0,27;44;34;49,54,,154,54,0,2,2,0,0,1.0,0,0,0,0,0,3,0,61.0,158,1,0,0,2,1,0,0,0,118
2026,1,ATL,REG,2026_01_ATL_PIT,PIT,12,22,143,1,2,4,-25,0,0,77,118,4,-15.764547433458114,-10.418013365645157,0,5,4,3,0,31,120,0,1,0,9,-2.532778510663044,0,3,3,1,0,12,19,143,1,1,0,77,118,4,-7.013960702447997,0,5,4,3,0,0,33,2,28,4,20,1,2.0,15.0,6,0,0,5,0,0,0,0,0,0,0,0,0,2,0,1,0,0,9,96,5,2,0,0,2,0,3,33,4,123,2,4,2,0,51.0,0.5,0,0,0,1,1,0,0,0,0,1,1,0,51;43,54;45,,94,99,0,1,1,0,0,1.0,0,0,0,0,0,6,0,60.0,289,3,0,0,2,2,2,13,0,236
2026,1,BAL,REG,2026_01_BAL_IND,IND,17,25,324,1,0,2,-20,1,1,269,169,11,10.343673247451648,4.801740248998006,0,13,7,3,3,37,202,4,0,0,12,6.658931777352398,0,6,5,2,0,17,24,324,1,0,0,269,169,11,17.214923517603893,0,13,7,3,3,0,32,1,25,6,24,1,2.0,17.0,9,1,1,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,10,86,4,1,0,0,1,1,3,30,5,151,2,2,0,0,57.0,1.0,0,0,0,1,1,0,0,0,0,0,0,0,57;45,,,102,0,0,5,5,0,0,1.0,0,0,0,0,0,3,0,53.0,140,3,1,0,0,2,0,0,0,140
2026,1,BUF,REG,2026_01_BUF_HOU,HOU,20,29,334,2,0,2,-11,0,0,383,109,13,14.535023926041614,8.141485282352992,0,12,9,5,2,21,86,2,2,0,5,-2.6135950712196063,0,3,2,1,0,20,28,334,2,0,0,383,109,13,18.642609215848207,0,12,9,5,2,0,38,2,52,8,27,2,3.0,17.0,9,0,0,2,0,0,0,0,0,0,0,0,0,2,-2,2,0,0,10,85,1,1,1,0,2,0,2,10,5,133,3,3,0,0,46.0,1.0,0,0,2,1,0,0,0,0,0,0,0,0,46;34;33,,,113,0,0,3,3,0,0,1.0,0,0,0,0,0,2,0,63.0,109,1,0,1,0,1,0,0,0,109
2026,1,CAR,REG,2026_01_CHI_CAR,CHI,23,38,361,3,1,2,-8,0,0,366,156,17,15.13862835448766,4.170120901921216,0,15,8,5,2,22,125,2,0,0,5,1.2128796904580668,0,3,1,1,0,23,34,361,3,1,1,366,156,17,16.20150897675194,0,15,8,5,2,0,45,1,27,4,11,1,2.0,8.0,3,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,11,84,5,1,1,0,2,2,2,17,7,153,1,1,0,0,44.0,1.0,0,0,0,1,0,0,0,0,0,0,0,0,44,,,44,0,0,4,5,0,1,0.8,0,0,0,0,0,3,0,61.0,147,0,1,0,1,0,1,23,0,104
2026,1,CHI,REG,2026_01_CHI_CAR,CAR,21,29,269,2,0,2,-8,0,0,319,80,13,18.565287171866746,16.58033785911707,0,11,5,4,1,39,291,6,0,0,11,14.731454032182228,0,5,5,4,1,21,26,269,2,1,1,319,80,13,18.177262109882665,0,11,5,4,1,0,31,0,34,2,8,1,2.0,8.0,5,1,0,3,0,0,0,0,1,0,0,0,0,0,0,2,0,0,12,57,2,1,0,0,1,1,1,23,4,85,1,1,0,0,40.0,1.0,0,0,0,1,0,0,0,0,0,0,0,0,40,,,40,0,0,8,8,0,0,1.0,0,0,0,0,0,2,0,54.0,102,0,0,0,0,0,2,17,0,85
2026,1,CIN,REG,2026_01_TB_CIN,TB,25,35,254,1,1,1,-9,0,0,226,144,14,-2.6269530624217747,6.35173276943319,0,12,7,3,0,27,106,1,0,0,10,-0.6561809138220269,0,4,2,0,0,25,34,254,1,0,0,226,144,14,2.1286128661129133,0,12,7,3,0,0,41,0,22,5,24,4,4.0,23.0,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,27,1,7,47,5,0,0,0,0,0,0,0,6,142,4,4,0,0,58.0,1.0,0,1,1,0,2,0,0,0,0,0,0,0,20;55;58;32,,,165,0,0,3,3,0,0,1.0,0,0,0,0,0,1,0,51.0,51,0,0,0,0,0,1,13,0,38
2026,1,CLE,REG,2026_01_CLE_JAX,JAX,16,22,205,1,1,5,-20,1,0,228,95,9,-5.560122194518736,10.32099574804306,0,8,4,3,1,22,87,0,0,0,5,0.8057772548054345,0,1,0,0,0,16,22,205,1,1,1,228,95,9,-1.2150515057662785,0,8,4,3,1,0,24,2,42,4,17,1,1.0,11.0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,11,75,3,2,0,0,2,1,1,10,6,228,1,1,0,0,26.0,1.0,0,1,0,0,0,0,0,0,0,0,0,0,26,,,26,0,0,1,1,0,0,1.0,0,0,0,0,0,3,0,48.0,130,1,0,0,0,2,1,-5,0,135
2026,1,DAL,REG,2026_01_DAL_NYG,NYG,22,34,175,2,1,0,0,0,0,309,91,12,10.380902764562052,7.729866604010264,0,8,2,0,0,18,69,1,0,0,4,1.0939399310736917,0,1,0,0,0,22,30,175,2,0,0,309,91,12,13.508291915524751,0,8,2,0,0,0,36,0,44,3,9,4,2.0,1.0,6,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,-3,0,9,90,5,0,0,0,0,0,0,0,5,122,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,2,3,1,0,0.6666666666666666,0,0,0,0,0,2,0,50.0,96,2,0,0,0,2,0,0,0,96
2026,1,DEN,REG,2026_01_DEN_KC,KC,17,28,131,1,1,4,-16,2,1,92,90,6,-14.381391775154043,-7.779540839018645,0,5,1,0,0,15,61,0,1,0,2,-1.435866871038617,0,1,1,0,0,17,27,131,1,0,0,92,90,6,-6.503765182977077,0,5,1,0,0,0,33,2,40,3,14,0,2.0,12.0,5,1,24,4,0,0,0,0,0,0,0,0,0,1,-5,0,0,0,7,52,3,1,2,1,3,1,2,36,5,138,1,1,0,0,31.0,1.0,0,0,1,0,0,0,0,0,0,0,0,0,31,,,31,0,0,1,1,0,0,1.0,0,0,0,0,0,6,0,68.0,314,3,0,1,1,2,2,7,0,287
