player_name,team_abbr,position,position_family,overall,trait_grade,performance_grade,performance_weight,availability_adjustment,macabets_rating,rating_confidence,rating_source,roster_status,injury_status,gsis_id,depth_chart_team_override
Trey McBride,ARI,TE,TE,99.0,96.0,92.76470588235294,0.2,0.0,95.35,medium,Madden 27 + nflverse performance,ACT,,00-0037744,False
Budda Baker,ARI,SS,DB,90.0,88.16,,0.0,0.0,88.16,baseline,Madden 27 baseline,ACT,,00-0033890,False
Paris Johnson Jr,ARI,LT,OL,86.0,86.11,,0.0,0.0,86.11,baseline,Madden 27 baseline,ACT,,00-0038540,False
Josh Sweat,ARI,EDGE,DL,85.0,84.39,,0.0,0.0,84.39,baseline,Madden 27 baseline,ACT,,00-0034381,False
Hjalte Froholdt,ARI,C,OL,83.0,83.67,,0.0,0.0,83.67,baseline,Madden 27 baseline,ACT,,00-0035258,False
Jeremiyah Love,ARI,HB,RB,82.0,83.24,,0.0,0.0,83.24,baseline,Madden 27 baseline,ACT,,00-0041027,False
Michael Wilson,ARI,WR,WR,81.0,81.91,89.84728033472803,0.168,0.0,83.24,medium,Madden 27 + nflverse performance,ACT,,00-0038559,False
Tyler Allgeier,ARI,HB,RB,81.0,82.18,80.79430379746834,0.1144,0.0,82.02,medium,Madden 27 + nflverse performance,ACT,,00-0037263,False
Isaac Seumalo,ARI,LG,OL,81.0,81.55,,0.0,0.0,81.55,baseline,Madden 27 baseline,ACT,,00-0032954,False
Marvin Harrison Jr,ARI,WR,WR,80.0,81.02,83.43723849372387,0.09733333333333334,0.0,81.26,baseline,Madden 27 + nflverse performance,ACT,,00-0039849,False
James Conner,ARI,HB,RB,80.0,81.11,71.5379746835443,0.0256,0.0,80.86,baseline,Madden 27 + nflverse performance,ACT,,00-0033553,False
Mack Wilson Sr,ARI,LB,LB,80.0,80.15,,0.0,0.0,80.15,baseline,Madden 27 baseline,ACT,,00-0035144,False
Garrett Williams,ARI,CB,DB,78.0,79.18,,0.0,0.0,79.18,baseline,Madden 27 baseline,ACT,,00-0039007,False
Trey Benson,ARI,HB,RB,77.0,79.12,68.34493670886076,0.023200000000000002,0.0,78.87,baseline,Madden 27 + nflverse performance,ACT,,00-0039921,False
Walter Nolen III,ARI,DT,DL,78.0,78.16,,0.0,0.0,78.16,baseline,Madden 27 baseline,ACT,,00-0040706,False
Kendrick Bourne,ARI,WR,WR,77.0,78.37,75.19665271966525,0.07066666666666667,0.0,78.15,baseline,Madden 27 + nflverse performance,ACT,,00-0033307,False
Sean Murphy-Bunting,ARI,CB,DB,77.0,78.13,,0.0,0.0,78.13,baseline,Madden 27 baseline,ACT,,00-0035239,False
Will Johnson,ARI,CB,DB,77.0,78.12,,0.0,0.0,78.12,baseline,Madden 27 baseline,ACT,,00-0040751,False
Chad Ryland,ARI,K,ST,75.0,78.0,,0.0,0.0,78.0,baseline,Madden 27 baseline,ACT,,00-0038567,False
Blake Gillikin,ARI,P,ST,74.0,77.0,,0.0,0.0,77.0,baseline,Madden 27 baseline,ACT,,00-0035859,False
Zaven Collins,ARI,EDGE,DL,76.0,76.53,,0.0,0.0,76.53,baseline,Madden 27 baseline,ACT,,00-0036933,False
Jacoby Brissett,ARI,QB,QB,72.0,74.71,82.43271604938272,0.194,0.0,76.21,medium,Madden 27 + nflverse performance,ACT,,00-0033119,False
Andrew Wingard,ARI,FS,DB,76.0,76.05,,0.0,0.0,76.05,baseline,Madden 27 baseline,ACT,,00-0035378,False
Chase Bisontis,ARI,RG,OL,75.0,76.03,,0.0,0.0,76.03,baseline,Madden 27 baseline,ACT,,00-0041468,False
Devin Duvernay,ARI,WR,WR,74.0,75.63,55.98744769874477,0.006666666666666667,0.0,75.5,baseline,Madden 27 + nflverse performance,ACT,,00-0036331,False
Max Melton,ARI,CB,DB,74.0,75.28,,0.0,0.0,75.28,baseline,Madden 27 baseline,ACT,,00-0039807,False
Kei'Trel Clark,ARI,CB,DB,74.0,74.94,,0.0,0.0,74.94,baseline,Madden 27 baseline,ACT,,00-0038984,False
Baron Browning,ARI,EDGE,DL,73.0,74.0,,0.0,0.0,74.0,baseline,Madden 27 baseline,ACT,,00-0036995,False
Starling Thomas V,ARI,CB,DB,73.0,73.95,,0.0,0.0,73.95,baseline,Madden 27 baseline,ACT,,00-0038663,False
Jordan Burch,ARI,EDGE,DL,73.0,73.6,,0.0,0.0,73.6,baseline,Madden 27 baseline,ACT,,00-0040137,False
