fighter,division,sample,head_landed_per_min,head_accuracy,head_absorbed_per_min,head_accuracy_allowed,body_landed_per_min,body_accuracy,body_absorbed_per_min,body_accuracy_allowed,leg_landed_per_min,leg_accuracy,leg_absorbed_per_min,leg_accuracy_allowed,distance_landed_per_min,distance_accuracy,distance_absorbed_per_min,distance_accuracy_allowed,clinch_landed_per_min,clinch_accuracy,clinch_absorbed_per_min,clinch_accuracy_allowed,ground_landed_per_min,ground_accuracy,ground_absorbed_per_min,ground_accuracy_allowed,power_kd_per100_sig,kd_absorbed_per100_sig,close_landed_per_min,close_accuracy,close_absorbed_per_min,close_accuracy_allowed,data_completeness,head_landed_per_min_pct,head_accuracy_pct,head_absorbed_per_min_pct,head_accuracy_allowed_pct,body_landed_per_min_pct,body_accuracy_pct,body_absorbed_per_min_pct,body_accuracy_allowed_pct,leg_landed_per_min_pct,leg_accuracy_pct,leg_absorbed_per_min_pct,leg_accuracy_allowed_pct,distance_landed_per_min_pct,distance_accuracy_pct,distance_absorbed_per_min_pct,distance_accuracy_allowed_pct,close_landed_per_min_pct,close_accuracy_pct,close_absorbed_per_min_pct,close_accuracy_allowed_pct,power_kd_per100_sig_pct,kd_absorbed_per100_sig_pct,head_attack_score,head_defense_score,body_attack_score,body_defense_score,leg_attack_score,leg_defense_score,distance_attack_score,distance_defense_score,close_attack_score,close_defense_score,power_score,knockdown_resistance_score
Merab Dvalishvili,Men’s Bantamweight,8,2.9758397171479083,0.33869885982562037,1.9563936358279317,0.40786240786240785,0.8662345315262228,0.7033492822966507,0.8073070123747791,0.7405405405405405,0.7012374779021804,0.8321678321678322,0.43606364172068357,0.8604651162790697,3.3235120801414264,0.3659961064243997,2.893341190335887,0.4856577645895153,0.7248084855627579,0.6721311475409836,0.2828520919269299,0.6956521739130435,0.4949911608721273,0.7058823529411765,0.02357100766057749,0.8,0.0,0.0,1.2197996464348853,0.6854304635761589,0.3064230995875074,0.7027027027027027,1.0,73.46938775510205,26.53061224489796,68.36734693877551,34.693877551020414,63.26530612244898,48.97959183673469,44.89795918367348,35.714285714285715,68.36734693877551,49.48453608247423,65.30612244897958,41.23711340206185,53.06122448979592,16.3265306122449,60.204081632653065,23.469387755102037,86.73469387755102,42.70833333333333,74.48979591836735,52.04081632653062,22.448979591836736,73.46938775510205,50.0,51.530612244897966,56.12244897959184,40.30612244897959,58.92594151062487,53.271617925520715,34.69387755102041,41.83673469387755,64.72151360544217,63.26530612244898,22.448979591836736,73.46938775510205
Sean O'Malley,Men’s Bantamweight,8,2.853907134767837,0.5114155251141552,1.5033975084937712,0.3247706422018349,1.2061155152887881,0.696078431372549,0.4161947904869762,0.5384615384615384,0.45016987542468856,0.8983050847457628,1.4099660249150623,0.8058252427184466,4.297848244620612,0.5704622322435174,2.548131370328426,0.4219409282700422,0.07644394110985277,0.8181818181818182,0.22083805209513024,0.6842105263157895,0.13590033975084936,0.7272727272727273,0.5605889014722537,0.7096774193548387,0.3766478342749529,0.0,0.21234428086070214,0.7575757575757576,0.7814269535673839,0.7022900763358778,1.0,66.3265306122449,93.87755102040816,82.65306122448979,72.44897959183673,81.63265306122449,45.91836734693878,86.73469387755102,88.26530612244898,46.93877551020408,79.38144329896907,2.0408163265306074,57.73195876288659,81.63265306122449,98.9795918367347,68.36734693877551,59.183673469387756,13.26530612244898,70.83333333333334,29.591836734693874,53.061224489795926,59.183673469387756,73.46938775510205,80.10204081632654,77.55102040816325,63.775510204081634,87.5,63.16010940458658,29.8863875447086,90.3061224489796,63.775510204081634,42.04931972789116,41.3265306122449,59.183673469387756,73.46938775510205
Petr Yan,Men’s Bantamweight,8,3.0294117647058822,0.4900095147478592,3.2,0.35370611183355005,0.8235294117647058,0.8383233532934131,0.9294117647058824,0.6694915254237288,0.7647058823529411,0.8904109589041096,0.5705882352941176,0.7698412698412699,3.8823529411764706,0.5477178423236515,4.264705882352941,0.40480178671133443,0.5117647058823529,0.7767857142857143,0.3352941176470588,0.6551724137931034,0.2235294117647059,0.8085106382978723,0.1,0.7727272727272727,0.12738853503184713,0.0,0.7352941176470589,0.7861635220125787,0.43529411764705883,0.6788990825688074,1.0,75.51020408163265,87.75510204081633,20.40816326530612,56.12244897959184,60.204081632653065,91.83673469387756,34.693877551020414,55.10204081632653,73.46938775510205,77.31958762886599,54.08163265306123,64.94845360824742,71.42857142857143,95.91836734693877,21.428571428571434,68.36734693877551,59.183673469387756,82.29166666666666,60.204081632653065,63.26530612244898,44.89795918367347,73.46938775510205,81.63265306122449,38.265306122448976,76.02040816326532,44.89795918367347,75.39448769198401,59.51504313065432,83.67346938775509,44.89795918367347,70.7376700680272,61.734693877551024,44.89795918367347,73.46938775510205
Mario Bautista,Men’s Bantamweight,8,3.298835705045278,0.4,3.017464424320828,0.3921815889029004,1.5426908150064684,0.8195876288659794,0.6209573091849936,0.6808510638297872,0.6403622250970246,0.8571428571428571,0.6597671410090556,0.9444444444444444,4.676584734799483,0.4762845849802372,3.560802069857697,0.4237875288683603,0.5045278137128073,0.8125,0.6306597671410091,0.8227848101265823,0.30077619663648125,0.6888888888888889,0.10672703751617077,0.7857142857142857,0.35398230088495575,0.0,0.8053040103492886,0.7614678899082569,0.7373868046571799,0.8172043010752689,1.0,80.61224489795919,65.3061224489796,25.510204081632654,43.87755102040817,90.81632653061224,87.75510204081633,66.3265306122449,50.0,62.244897959183675,60.824742268041234,40.816326530612244,11.340206185567002,88.77551020408163,71.42857142857143,39.79591836734694,58.163265306122454,62.244897959183675,72.91666666666666,33.67346938775511,14.285714285714283,57.14285714285714,73.46938775510205,72.9591836734694,34.693877551020414,89.28571428571428,58.16326530612245,61.534820113612454,26.07826635808962,80.10204081632654,48.9795918367347,67.58078231292517,23.9795918367347,57.14285714285714,73.46938775510205
Umar Nurmagomedov,Men’s Bantamweight,8,2.713780918727915,0.5023547880690737,0.9752650176678445,0.2751196172248804,0.8056537102473498,0.7251908396946565,0.6021201413427562,0.6826923076923077,0.415547703180212,0.8596491228070176,0.3646643109540636,0.7678571428571429,2.6374558303886926,0.5016129032258064,1.6876325088339221,0.3768939393939394,0.19505300353356889,0.696969696969697,0.23745583038869256,0.6086956521739131,1.1024734982332156,0.7558139534883721,0.01696113074204947,0.5,0.21551724137931033,0.8733624454148472,1.2975265017667843,0.7463414634146341,0.254416961130742,0.6,1.0,61.224489795918366,92.85714285714286,93.87755102040816,87.75510204081633,58.16326530612245,58.16326530612245,70.40816326530611,47.95918367346939,38.775510204081634,64.94845360824742,72.44897959183673,67.0103092783505,36.734693877551024,86.73469387755102,85.71428571428571,82.65306122448979,89.79591836734694,63.541666666666664,87.75510204081633,81.12244897959184,46.93877551020408,18.3673469387755,77.04081632653062,90.81632653061224,58.16326530612245,59.183673469387756,51.86198190616453,69.72964443509362,61.734693877551024,84.18367346938774,76.6687925170068,84.43877551020408,46.93877551020408,18.3673469387755
Song Yadong,Men’s Bantamweight,8,2.2282461371645432,0.3508322663252241,2.114394144754676,0.38235294117647056,0.683111954459203,0.65625,0.683111954459203,0.6511627906976745,0.992138791000271,0.7625,1.0490647872052046,0.8775510204081632,3.350501490918948,0.4199796126401631,3.651396042287883,0.48331539289558667,0.1870425589590675,0.7666666666666667,0.07319056654920032,0.8181818181818182,0.3659528327460016,0.7758620689655172,0.12198427758200055,0.9375,0.625,0.0,0.5529953917050691,0.7727272727272727,0.19517484413120087,0.8888888888888888,1.0,44.89795918367347,35.714285714285715,60.204081632653065,46.93877551020408,43.87755102040816,37.755102040816325,59.183673469387756,67.85714285714286,87.75510204081633,25.773195876288657,13.265306122448981,31.958762886597942,56.12244897959183,44.89795918367347,34.693877551020414,26.530612244897956,45.91836734693878,78.125,89.79591836734693,4.591836734693875,77.04081632653062,73.46938775510205,40.30612244897959,53.57142857142857,40.816326530612244,63.52040816326531,56.76414895855249,22.61203450452346,50.51020408163265,30.612244897959187,62.02168367346939,47.1938775510204,77.04081632653062,73.46938775510205
Farid Basharat,Men’s Bantamweight,7,2.5251989389920424,0.44074074074074077,1.973474801061008,0.3059210526315789,0.5941644562334217,0.6436781609195402,0.9124668435013262,0.6771653543307087,0.8169761273209549,0.7938144329896907,0.583554376657825,0.5445544554455446,3.2679045092838197,0.48503937007874015,2.9177718832891246,0.35900783289817234,0.29708222811671087,0.7567567567567568,0.44562334217506633,0.711864406779661,0.3713527851458886,0.6730769230769231,0.10610079575596817,0.9090909090909091,0.0,0.0,0.6684350132625995,0.7078651685393258,0.5517241379310345,0.7428571428571429,1.0,55.10204081632652,78.57142857142857,67.34693877551021,80.61224489795919,34.69387755102041,34.69387755102041,35.714285714285715,51.02040816326531,80.61224489795919,32.98969072164948,52.04081632653062,93.81443298969072,50.0,78.57142857142857,57.142857142857146,84.6938775510204,56.12244897959183,50.0,48.97959183673469,42.85714285714286,22.448979591836736,73.46938775510205,66.83673469387755,73.9795918367347,34.69387755102041,43.36734693877551,56.800967809804334,72.92762465811066,64.28571428571428,70.91836734693878,53.06122448979592,45.91836734693878,22.448979591836736,73.46938775510205
Raoni Barcelos,Men’s Bantamweight,8,2.3703935040599626,0.43847487001733104,2.1267957526545906,0.337295690936107,0.683947532792005,0.8021978021978022,0.5902560899437851,0.7078651685393258,0.4778263585259213,0.85,0.3466583385384135,0.925,2.5296689569019364,0.45840407470288624,2.59525296689569,0.3789329685362517,0.3185509056839475,0.7555555555555555,0.2623360399750156,0.6666666666666666,0.683947532792005,0.776595744680851,0.2061211742660837,0.7586206896551724,0.26525198938992045,0.9174311926605505,1.0024984384759525,0.7697841726618705,0.4684572142410993,0.704225352112676,1.0,46.93877551020408,76.53061224489795,59.183673469387756,69.38775510204081,44.89795918367347,83.6734693877551,71.42857142857142,41.83673469387755,52.04081632653062,56.18556701030928,74.48979591836735,20.61855670103093,31.63265306122449,66.3265306122449,67.34693877551021,80.61224489795919,77.55102040816327,77.08333333333334,56.12244897959184,50.0,50.0,16.83673469387755,61.73469387755102,64.28571428571428,64.28571428571429,56.63265306122449,54.113191668419944,47.55417630969914,48.97959183673469,73.9795918367347,77.31717687074831,53.06122448979592,50.0,16.83673469387755
Bryce Mitchell,Men’s Bantamweight,8,1.0726256983240223,0.48484848484848486,0.9273743016759777,0.350210970464135,0.6256983240223464,0.6086956521739131,0.4245810055865922,0.5428571428571428,0.4245810055865922,0.8837209302325582,0.18994413407821228,0.7391304347826086,1.441340782122905,0.5,1.2513966480446927,0.3848797250859107,0.24581005586592178,0.8148148148148148,0.11173184357541899,0.625,0.43575418994413406,0.8125,0.1787709497206704,0.6956521739130435,0.5263157894736842,2.898550724637681,0.6815642458100558,0.8133333333333334,0.2905027932960894,0.6666666666666666,1.0,9.183673469387756,84.6938775510204,94.89795918367346,60.204081632653065,37.755102040816325,25.510204081632654,85.71428571428571,86.73469387755102,40.816326530612244,75.25773195876289,91.83673469387755,75.25773195876289,10.204081632653061,84.6938775510204,94.89795918367346,79.59183673469387,58.16326530612245,88.54166666666666,80.61224489795919,65.81632653061223,71.42857142857143,3.061224489795923,46.93877551020408,77.55102040816327,31.632653061224488,86.22448979591837,58.03702924468757,83.54723332632022,47.44897959183673,87.24489795918367,73.35246598639455,73.21428571428571,71.42857142857143,3.061224489795923
Cory Sandhagen,Men’s Bantamweight,8,2.7729601891998423,0.3521021021021021,2.264485612928656,0.3860887096774194,0.650374458021285,0.7236842105263158,0.6799369333858889,0.732484076433121,0.8277493102089082,0.9150326797385621,0.6148994875837603,0.8739495798319328,3.6598344501379585,0.41739716790289955,2.962160031533307,0.4417989417989418,0.14189988175009854,0.6857142857142857,0.3843121797398502,0.7926829268292683,0.4493496255419787,0.6386554621848739,0.21284982262514782,0.6923076923076923,0.0,0.33222591362126247,0.5912495072920773,0.6493506493506493,0.5971620023649981,0.753731343283582,1.0,63.26530612244898,36.734693877551024,51.02040816326531,45.91836734693879,38.775510204081634,57.14285714285714,60.204081632653065,38.775510204081634,81.63265306122449,83.50515463917526,46.93877551020408,35.05154639175258,64.28571428571429,41.83673469387755,55.10204081632653,46.93877551020408,48.97959183673469,27.083333333333332,44.89795918367348,33.67346938775511,22.448979591836736,34.693877551020414,50.0,48.46938775510205,47.95918367346938,49.48979591836735,82.56890385019987,40.99516095097833,53.06122448979592,51.0204081632653,38.031462585034014,39.28571428571429,22.448979591836736,34.693877551020414
Aiemann Zahabi,Men’s Bantamweight,8,3.538083538083538,0.4495677233429395,2.7783027783027783,0.2474747474747475,0.8051408051408051,0.6574074074074074,0.8505008505008504,0.5136986301369864,0.9185409185409185,0.7431192660550459,0.567000567000567,0.7246376811594203,4.785484785484785,0.49764150943396224,4.127764127764127,0.304857621440536,0.14742014742014742,0.6190476190476191,0.0567000567000567,0.5,0.32886032886032884,0.6904761904761905,0.011340011340011339,1.0,0.43103448275862066,0.8108108108108109,0.47628047628047626,0.6666666666666666,0.06804006804006804,0.5454545454545454,1.0,86.73469387755102,80.61224489795919,32.6530612244898,96.93877551020408,57.14285714285714,38.775510204081634,41.83673469387755,90.81632653061224,85.71428571428571,23.711340206185564,55.10204081632653,78.35051546391752,90.81632653061224,83.6734693877551,23.469387755102037,95.91836734693877,38.775510204081634,35.41666666666667,97.95918367346938,87.75510204081633,63.26530612244898,22.448979591836736,83.6734693877551,64.79591836734694,47.95918367346938,66.3265306122449,54.71281296023564,66.72627814012202,87.24489795918367,59.6938775510204,37.096088435374156,92.85714285714286,63.26530612244898,22.448979591836736
Raul Rosas Jr.,Men’s Bantamweight,7,0.8591549295774648,0.3505747126436782,0.9859154929577465,0.39325842696629215,0.18309859154929578,0.48148148148148145,0.2676056338028169,0.76,0.29577464788732394,0.7,0.08450704225352113,0.8571428571428571,0.9014084507042254,0.35359116022099446,0.9577464788732394,0.39080459770114945,0.014084507042253521,0.5,0.07042253521126761,0.625,0.4225352112676056,0.625,0.30985915492957744,0.7857142857142857,1.0526315789473684,0.0,0.43661971830985913,0.62,0.38028169014084506,0.75,1.0,6.122448979591836,34.183673469387756,92.85714285714285,42.85714285714286,4.081632653061225,9.183673469387756,95.91836734693877,27.040816326530607,25.510204081632654,18.04123711340206,96.93877551020408,42.78350515463917,2.0408163265306123,12.244897959183673,100.0,76.53061224489795,34.69387755102041,19.791666666666664,67.34693877551021,37.755102040816325,86.73469387755102,73.46938775510205,20.153061224489797,67.85714285714286,6.63265306122449,61.479591836734684,21.775720597517356,69.86114033242163,7.142857142857142,88.26530612244898,27.242772108843536,52.55102040816327,86.73469387755102,73.46938775510205
Deiveson Figueiredo,Men’s Bantamweight,8,0.8771411695215594,0.3793103448275862,1.860602480803308,0.41338582677165353,0.5847607796810396,0.717391304347826,0.5493207324276432,0.7380952380952381,0.3278204370939161,0.8222222222222222,0.930301240401654,0.8467741935483871,1.5416420555227408,0.481994459833795,2.7643236857649147,0.5024154589371981,0.14176018901358536,0.7272727272727273,0.2303603071470762,0.7647058823529411,0.10632014176018902,0.8,0.34554046072061434,0.639344262295082,0.49504950495049505,0.0,0.2480803307737744,0.7567567567567568,0.5759007678676905,0.6842105263157895,1.0,7.142857142857142,56.12244897959183,71.42857142857142,30.612244897959176,33.6734693877551,53.06122448979592,73.46938775510205,36.73469387755102,27.55102040816326,43.29896907216495,20.40816326530612,46.39175257731959,12.244897959183673,75.51020408163265,63.26530612244898,14.285714285714283,15.306122448979592,69.79166666666666,47.95918367346939,59.183673469387756,68.36734693877551,73.46938775510205,31.632653061224488,51.020408163265294,43.36734693877551,55.102040816326536,35.42499474016411,33.399957921312854,43.87755102040816,38.775510204081634,42.548894557823125,53.57142857142857,68.36734693877551,73.46938775510205
