player_key,alias,canonical_name
104940,- De Bresser/ Jeong,- De Bresser/ Jeong
105777,- Ihlenfeld/ Laporta Osante,- Ihlenfeld/ Laporta Osante
522,A-L. Friedsam,A-L. Friedsam
75973,A. A. Ceuca,A. A. Ceuca
74737,A. A. Frutos Alonso,A. A. Frutos Alonso
40090,A. A. Koskel,A. A. Koskel
38052,A. Abbagnato,A. Abbagnato
82857,A. Abedinzadeh,A. Abedinzadeh
48889,A. Ahn,A. Ahn
53646,A. Akli,A. Akli
4363,A. Aksu,A. Aksu
87957,A. Alexander,A. Alexander
6505,A. Andrade,A. Andrade
6505,Andres Andrade,A. Andrade
2074,A. Anisimova,A. Anisimova
90472,A. Antici,A. Antici
24512,A. Arifullina,A. Arifullina
85209,A. Arora,A. Arora
185,A. Arseneault,A. Arseneault
39124,A. Arystanbekova,A. Arystanbekova
35252,A. Aslanisvili,A. Aslanisvili
107604,A. Aufiero,A. Aufiero
81144,A. Bal,A. Bal
50790,A. Balestrieri,A. Balestrieri
84722,A. Barmicheva,A. Barmicheva
31462,A. Barth,A. Barth
80041,A. Baudel,A. Baudel
103493,A. Baybars,A. Baybars
103843,A. Bazderova,A. Bazderova
6551,A. Beck,A. Beck
67560,A. Berge,A. Berge
55372,A. Bergeron,A. Bergeron
106846,A. Bergomi,A. Bergomi
49425,A. Berrut,A. Berrut
49425,Adrien Berrut,A. Berrut
68678,A. Bertacchi,A. Bertacchi
82863,A. Bhopal,A. Bhopal
92788,A. Biot,A. Biot
1779,A. Blinkova,A. Blinkova
53732,A. Blus,A. Blus
505,A. Bondar,A. Bondar
38699,A. Bowers,A. Bowers
53435,A. Bravo,A. Bravo
85934,A. Breaz,A. Breaz
104161,A. Brignacca,A. Brignacca
101165,A. Brooks,A. Brooks
20694,A. Brune,A. Brune
51324,A. Bulatova,A. Bulatova
15078,A. Burchak,A. Burchak
81419,A. C. Adascalitei,A. C. Adascalitei
83103,A. C. Gadoiu,A. C. Gadoiu
83103,Corneliu Gadoiu Andrei,A. C. Gadoiu
39505,A. C. Nava Elkin,A. C. Nava Elkin
39110,A. C. Zamburek,A. C. Zamburek
10902,A. Candiotto,A. Candiotto
105630,A. Capatos,A. Capatos
84075,A. Casari,A. Casari
28541,A. Catanzarite,A. Catanzarite
9956,A. Chandrasekar,A. Chandrasekar
13538,A. Chanta,A. Chanta
13421,A. Charaeva,A. Charaeva
105621,A. Charrier,A. Charrier
4061,A. Chepelev,A. Chepelev
4061,Andrey Chepelev,A. Chepelev
13036,A. Chlpac,A. Chlpac
13324,A. Cirotte,A. Cirotte
104273,A. Colic,A. Colic
67759,A. Corvi,A. Corvi
57899,A. Cvetkovic,A. Cvetkovic
18042,A. D. Nitture,A. D. Nitture
84308,A. D. Soare,A. D. Soare
104554,A. Damonte,A. Damonte
87011,A. Danilova,A. Danilova
62582,A. Das,A. Das
56988,A. De Gabriele,A. De Gabriele
66075,A. Delgadillo,A. Delgadillo
12563,A. Delgado,A. Delgado
69061,A. Djokic,A. Djokic
92058,A. Donnell,A. Donnell
37850,A. Dudeney,A. Dudeney
74920,A. Dumitrescu,A. Dumitrescu
81423,A. Dvorackova,A. Dvorackova
9335,A. E. Samardzic,A. E. Samardzic
3490,A. Eala,A. Eala
99,A. Easwaramurthi,A. Easwaramurthi
10897,A. El Aouni,A. El Aouni
20520,A. El Sayed,A. El Sayed
55524,A. F. Oana,A. F. Oana
14088,A. F. Rubio Fierros,A. F. Rubio Fierros
14088,Fernando Rubio Fierros Alan,A. F. Rubio Fierros
9265,A. Falei,A. Falei
71935,A. Ferlito Faticanti,A. Ferlito Faticanti
93157,A. Fernandez Badia,A. Fernandez Badia
69527,A. Firman,A. Firman
159,A. Fita Boluda,A. Fita Boluda
15428,A. Formella,A. Formella
53648,A. Frey,A. Frey
106715,A. Fric,A. Fric
83930,A. Gabet,A. Gabet
79399,A. Gabriel,A. Gabriel
104247,A. Ganchev,A. Ganchev
9584,A. Garcia,A. Garcia
66137,A. Garcia-Patron Canals,A. Garcia-Patron Canals
468,A. Gasanova,A. Gasanova
106388,A. Gaule,A. Gaule
37888,A. Geerlings Martinez,A. Geerlings Martinez
89599,A. Gentili,A. Gentili
29731,A. Gergec,A. Gergec
2565,A. Gillan,A. Gillan
38018,A. Giraldi Requena,A. Giraldi Requena
87846,A. Gottvaldova,A. Gottvaldova
18373,A. Granwehr,A. Granwehr
89,A. Grubor,A. Grubor
853,A. Guerrieri,A. Guerrieri
853,Andrea Guerrieri,A. Guerrieri
9245,A. Gureva,A. Gureva
75992,A. Guzman Garcia,A. Guzman Garcia
103610,A. Harvey,A. Harvey
69485,A. Hejtmanek,A. Hejtmanek
28241,A. Hernandez-Aguila,A. Hernandez-Aguila
14112,A. Herrero Linana,A. Herrero Linana
12792,A. Hertel,A. Hertel
2990,A. Hesse,A. Hesse
104838,A. Ho,A. Ho
9526,A. Honer,A. Honer
106719,A. Horutova,A. Horutova
84406,A. Hrastar,A. Hrastar
106847,A. Hunziker,A. Hunziker
83295,A. Huseinovic,A. Huseinovic
69065,A. I. Anghel,A. I. Anghel
59294,A. I. Marginean,A. I. Marginean
88187,A. I. Varsa,A. I. Varsa
58495,A. Iancu,A. Iancu
51378,A. Ibragimova,A. Ibragimova
37936,A. Ilagan,A. Ilagan
37936,Andre Ilagan,A. Ilagan
101857,A. Ishii,A. Ishii
13618,A. Ito,A. Ito
76964,A. J. Lopez Ocampos,A. J. Lopez Ocampos
77935,A. J. Sartori,A. J. Sartori
2270,A. James,A. James
87839,A. Jancarikova,A. Jancarikova
13032,A. Jaskova,A. Jaskova
104926,A. Johnson,A. Johnson
104926,Antonius/ Johnson,A. Johnson
32064,A. Johnson,A. Johnson
32064,Andrew Johnson,A. Johnson
9242,A. K. Toth,A. K. Toth
65047,A. Kakenova,A. Kakenova
2393,A. Kalinina,A. Kalinina
1820,A. Kalinskaya,A. Kalinskaya
13074,A. Karunaratne,A. Karunaratne
105226,A. Kasperski,A. Kasperski
102149,A. Kaztugan,A. Kaztugan
101890,A. Khomitskaya,A. Khomitskaya
87749,A. Klichnikov,A. Klichnikov
72749,A. Kmiecik,A. Kmiecik
85125,A. Kockinis,A. Kockinis
13375,A. Koevermans,A. Koevermans
14207,A. Koller,A. Koller
14547,A. Korneeva,A. Korneeva
91359,A. Korpanec Davies,A. Korpanec Davies
89625,A. Kostina,A. Kostina
84071,A. Kostova,A. Kostova
52683,A. Kovackova,A. Kovackova
196,A. Krueger,A. Krueger
56748,A. Krymkova,A. Krymkova
1417,A. Kubareva,A. Kubareva
2576,A. Kucmova,A. Kucmova
458,A. Kulikova,A. Kulikova
38327,A. Kumru,A. Kumru
23873,A. Kuparev,A. Kuparev
84408,A. L. Ebster,A. L. Ebster
89415,A. L. Popovic,A. L. Popovic
54023,A. L. Puiac,A. L. Puiac
4085,A. Laboutkova,A. Laboutkova
50429,A. Lachinova,A. Lachinova
13742,A. Lahey,A. Lahey
81792,A. Lavrnja,A. Lavrnja
64746,A. Lazar,A. Lazar
1117,A. Lazaro Garcia,A. Lazaro Garcia
84872,A. Lee,A. Lee
14241,A. Lew Yan Foon,A. Lew Yan Foon
2997,A. Li,A. Li
11326,A. Lukosiute,A. Lukosiute
1358,A. Lutkemeyer,A. Lutkemeyer
84309,A. M. Capeti,A. M. Capeti
90841,A. M. Coromina Boluda,A. M. Coromina Boluda
104445,A. M. Mitu,A. M. Mitu
95215,A. Malova,A. Malova
85027,A. Marinescu,A. Marinescu
105386,A. Martin Espinar,A. Martin Espinar
7101,A. Martinez,A. Martinez
77635,A. Mateva,A. Mateva
6886,A. Matusevich,A. Matusevich
6886,Anton Matusevich,A. Matusevich
93193,A. Maye Martinez,A. Maye Martinez
15681,A. Mazzola,A. Mazzola
85607,A. Medus,A. Medus
107541,A. Meinertz,A. Meinertz
92129,A. Meneses Perny,A. Meneses Perny
85930,A. Mihalka,A. Mihalka
9267,A. Mintegi Del Olmo,A. Mintegi Del Olmo
104907,A. Mirrington,A. Mirrington
86724,A. Mitric,A. Mitric
11583,A. Miyamoto,A. Miyamoto
14242,A. Monnot,A. Monnot
13166,A. Morolli,A. Morolli
105278,A. Morris,A. Morris
75576,A. Motta,A. Motta
21946,A. Mozgaleva,A. Mozgaleva
14543,A. Mubarak,A. Mubarak
13030,A. N. Isaacs,A. N. Isaacs
13621,A. Nagata,A. Nagata
55371,A. Nagoudi,A. Nagoudi
12932,A. Nagy,A. Nagy
81414,A. Nemeth,A. Nemeth
52653,A. Nguyen,A. Nguyen
106357,A. Niyetkaliyev,A. Niyetkaliyev
90048,A. Nosei,A. Nosei
40164,A. Nupbay,A. Nupbay
106149,A. O'Connor,A. O'Connor
40062,A. Obradovic,A. Obradovic
86746,A. Okonkwo,A. Okonkwo
86746,Alexander Okonkwo,A. Okonkwo
78480,A. Oktiabreva,A. Oktiabreva
10913,A. Okutoyi,A. Okutoyi
71,A. Osborne,A. Osborne
106718,A. Ostravska,A. Ostravska
15772,A. Ozerova,A. Ozerova
105613,A. Pallegar,A. Pallegar
105303,A. Panagiotidou,A. Panagiotidou
64332,A. Paparkar,A. Paparkar
1792,A. Parks,A. Parks
84716,A. Paszun,A. Paszun
58204,A. Penickova,A. Penickova
104845,A. Perez Mellado,A. Perez Mellado
72578,A. Petkovic,A. Petkovic
20359,A. Petrovic,A. Petrovic
