fighter,division,macabets_rating,strength_score,raw_elo,global_elo,division_elo,division_fights,recent_form_score,recent_form_adjusted,schedule_rating,ranking_confidence,ufc_wins,ufc_losses,ufc_draws,ufc_finishes,recent_fights_4y,last_fight_date,days_inactive,inactivity_penalty,active_pool,division_rank
Merab Dvalishvili,Men’s Bantamweight,1633.49,68.7,1661.99,1661.99,1625.13,16,72.0,66.0,1612.72,96.1,14,3,0,2,8,2025-12-06,254,0.0,True,1
Sean O'Malley,Men’s Bantamweight,1615.77,66.4,1635.56,1635.56,1614.91,15,74.4,67.7,1614.94,95.9,12,3,0,7,7,2026-06-14,64,0.0,True,2
Petr Yan,Men’s Bantamweight,1614.11,66.2,1630.58,1630.58,1604.02,16,88.4,77.9,1617.63,96.1,12,4,0,4,6,2025-12-06,254,0.0,True,3
Mario Bautista,Men’s Bantamweight,1609.45,65.6,1628.57,1628.57,1608.05,15,83.2,74.2,1564.22,95.9,12,3,0,5,9,2026-07-11,37,0.0,True,4
Umar Nurmagomedov,Men’s Bantamweight,1596.37,63.8,1614.23,1614.23,1581.5,8,84.8,75.3,1592.45,93.0,8,1,0,3,6,2026-01-24,205,0.0,True,5
Song Yadong,Men’s Bantamweight,1592.14,63.2,1614.87,1614.87,1575.91,15,62.8,59.3,1588.93,95.9,12,4,1,7,7,2026-05-30,79,0.0,True,6
Farid Basharat,Men’s Bantamweight,1585.75,62.4,1600.65,1600.65,1576.0,6,100.0,85.0,1528.47,91.2,7,0,0,1,7,2026-07-11,37,0.0,True,7
Raoni Barcelos,Men’s Bantamweight,1584.89,62.2,1596.24,1596.24,1575.3,14,92.7,81.1,1551.07,95.6,11,4,0,4,8,2026-04-25,114,0.0,True,8
Bryce Mitchell,Men’s Bantamweight,1567.98,59.9,1591.98,1591.98,1529.04,2,75.2,68.3,1547.85,82.5,10,3,0,3,7,2026-06-06,72,0.0,True,9
Cory Sandhagen,Men’s Bantamweight,1567.98,59.9,1592.41,1592.41,1553.19,15,27.7,33.8,1615.36,95.9,11,6,0,7,7,2026-07-11,37,0.0,True,10
Aiemann Zahabi,Men’s Bantamweight,1563.9,59.3,1578.1,1578.1,1554.55,10,63.9,60.1,1562.86,94.2,8,3,0,2,6,2026-06-14,64,0.0,True,11
Raul Rosas Jr.,Men’s Bantamweight,1563.75,59.3,1571.22,1571.22,1563.66,7,95.3,81.7,1503.32,92.2,6,1,0,3,7,2026-03-07,163,0.0,True,12
Deiveson Figueiredo,Men’s Bantamweight,1559.59,58.7,1591.85,1591.85,1512.36,8,30.2,35.6,1593.48,93.0,14,7,1,8,9,2026-05-30,79,0.0,True,13
Montel Jackson,Men’s Bantamweight,1557.47,58.4,1574.45,1574.45,1562.07,13,38.5,41.6,1557.4,95.3,9,4,0,4,6,2026-04-25,114,0.0,True,14
Chris Gutierrez,Men’s Bantamweight,1555.57,58.1,1578.08,1578.08,1535.93,12,51.9,51.4,1542.98,95.0,10,4,1,3,7,2025-10-04,317,1.7,True,15
Payton Talbott,Men’s Bantamweight,1551.21,57.5,1562.93,1562.93,1551.63,6,83.3,72.2,1534.24,86.7,5,1,0,3,6,2025-12-06,254,0.0,True,16
Daniel Marcos,Men’s Bantamweight,1551.01,57.4,1563.36,1563.36,1555.46,6,75.9,67.3,1542.89,86.7,5,1,0,2,7,2025-11-08,282,0.0,True,17
Adrian Yanez,Men’s Bantamweight,1549.67,57.3,1557.93,1557.93,1551.07,11,63.5,59.9,1540.43,94.6,7,3,1,6,6,2026-07-11,37,0.0,True,18
Marcus McGhee,Men’s Bantamweight,1546.55,56.8,1560.38,1560.38,1542.21,5,76.1,67.4,1528.63,85.4,5,1,0,3,6,2026-06-06,72,0.0,True,19
Ricky Simon,Men’s Bantamweight,1544.73,56.5,1558.29,1558.29,1540.56,16,45.7,46.9,1543.45,96.1,10,6,1,5,7,2026-03-28,142,0.0,True,20
Charles Jourdain,Men’s Bantamweight,1543.2,56.3,1547.21,1547.21,1543.42,3,81.3,72.7,1535.59,86.0,9,7,1,6,8,2026-04-18,121,0.0,True,21
Henry Cejudo,Men’s Bantamweight,1540.34,55.9,1572.89,1572.89,1499.4,7,3.7,16.3,1600.46,92.2,10,6,0,4,4,2025-12-06,254,0.0,True,22
Marlon Vera,Men’s Bantamweight,1538.5,55.6,1557.15,1557.15,1539.26,23,11.0,21.6,1581.78,97.2,15,11,0,11,6,2026-02-28,170,0.0,True,23
Rob Font,Men’s Bantamweight,1537.59,55.5,1551.22,1551.22,1538.03,19,30.3,35.6,1561.14,96.7,12,9,0,7,7,2026-03-07,163,0.0,True,24
Davey Grant,Men’s Bantamweight,1535.49,55.2,1538.83,1538.83,1533.14,16,70.2,64.7,1521.02,96.1,9,7,0,4,6,2026-04-25,114,0.0,True,25
David Martinez,Men’s Bantamweight,1530.96,54.5,1549.53,1549.53,1541.88,3,100.0,75.0,1547.77,65.8,3,0,0,1,3,2026-02-28,170,0.0,True,26
Jean Matsumoto,Men’s Bantamweight,1528.92,54.2,1534.03,1534.03,1539.31,5,64.2,59.5,1532.11,85.4,4,2,0,1,6,2026-06-27,51,0.0,True,27
Elijah Smith,Men’s Bantamweight,1527.84,54.1,1545.22,1545.22,1539.75,3,100.0,75.0,1501.38,65.8,3,0,0,2,3,2026-03-14,156,0.0,True,28
Cody Garbrandt,Men’s Bantamweight,1522.76,53.3,1530.62,1530.62,1527.02,16,36.4,40.1,1536.32,96.1,10,8,0,6,6,2026-07-11,37,0.0,True,29
