fighter,division,sample,minutes,data_completeness,sig_landed_per_min,sig_attempted_per_min,sig_absorbed_per_min,sig_diff_per_min,sig_accuracy,sig_defense,kd_per15,kd_absorbed_per15,td_per15,td_accuracy,td_defense,sub_attempts_per15,control_share,finish_loss_rate,ground_strike_share,clinch_strike_share,distance_strike_share,sig_diff_per_min_pct,sig_accuracy_pct,sig_defense_pct,kd_per15_pct,td_per15_pct,td_accuracy_pct,td_defense_pct,sub_attempts_per15_pct,control_share_pct,kd_absorbed_per15_pct,finish_loss_rate_pct,sig_attempted_per_min_pct,striking_score,wrestling_score,grappling_score,durability_score,pace_score
Merab Dvalishvili,Men’s Bantamweight,8,169.7,1.0,4.543311726576311,10.86034177961108,3.1997642899233942,1.343547436652917,0.4183396635919696,0.49953917050691243,0.0,0.0,4.949911608721273,0.2814070351758794,0.75,0.3535651149086623,0.8566581849024597,0.0,0.10894941634241245,0.15953307392996108,0.7315175097276264,83.6734693877551,26.53061224489796,30.612244897959183,22.448979591836736,95.91836734693877,36.666666666666664,65.59139784946237,61.224489795918366,85.71428571428571,73.46938775510205,73.46938775510205,80.61224489795919,40.81632653061225,70.97267939433837,80.95238095238095,59.18367346938776,80.61224489795919
Sean O'Malley,Men’s Bantamweight,8,117.73333333333333,1.0,4.5101925254813136,7.814269535673839,3.3295583238958097,1.1806342015855038,0.5771739130434783,0.5344418052256532,0.2548131370328426,0.0,0.0,0.0,0.5918367346938775,0.0,0.01643655489809336,0.5,0.030131826741996232,0.01694915254237288,0.9529190207156308,78.57142857142857,94.89795918367348,51.02040816326531,62.244897959183675,9.693877551020408,6.111111111111111,38.70967741935484,19.387755102040817,3.061224489795918,73.46938775510205,26.530612244897956,44.89795918367347,71.68367346938776,14.39397264282057,10.714285714285715,50.34013605442177,44.89795918367347
Petr Yan,Men’s Bantamweight,8,170.0,1.0,4.617647058823529,8.023529411764706,4.7,-0.08235294117647118,0.5755131964809385,0.5794736842105264,0.08823529411764705,0.0,1.4117647058823528,0.3902439024390244,0.8503937007874016,0.08823529411764705,0.49695219762592235,0.0,0.048407643312101914,0.11082802547770701,0.8407643312101911,43.87755102040816,93.87755102040816,72.44897959183673,44.89795918367347,54.08163265306123,66.66666666666666,81.72043010752688,38.775510204081634,45.91836734693878,73.46938775510205,73.46938775510205,50.0,63.775510204081634,62.096774193548384,46.25850340136055,73.12925170068029,50.0
Mario Bautista,Men’s Bantamweight,8,103.06666666666666,1.0,5.481888745148771,10.876455368693403,4.298188874514877,1.1836998706338937,0.504014272970562,0.5380604796663191,0.29107373868046577,0.0,2.6196636481241913,0.32727272727272727,0.5365853658536586,1.01875808538163,0.5398843930635838,0.0,0.05486725663716814,0.0920353982300885,0.8530973451327434,79.59183673469387,65.3061224489796,52.04081632653062,70.40816326530613,77.55102040816327,47.77777777777778,28.49462365591398,83.6734693877551,53.06122448979592,73.46938775510205,73.46938775510205,81.63265306122449,66.83673469387756,51.72116158291274,71.42857142857143,66.3265306122449,81.63265306122449
Umar Nurmagomedov,Men’s Bantamweight,8,117.91666666666667,1.0,3.9349823321554767,6.996466431095406,1.9420494699646642,1.9929328621908124,0.5624242424242424,0.6038062283737025,0.127208480565371,0.254416961130742,3.6890459363957593,0.46774193548387094,0.7941176470588236,0.127208480565371,0.9304201680672269,0.0,0.2801724137931034,0.04956896551724138,0.6702586206896551,93.87755102040816,89.79591836734694,83.6734693877551,46.93877551020408,91.83673469387756,78.88888888888889,73.11827956989248,44.89795918367347,93.87755102040816,32.6530612244898,73.46938775510205,31.63265306122449,78.57142857142858,84.43036354326676,76.87074829931973,63.26530612244898,31.63265306122449
Song Yadong,Men’s Bantamweight,8,122.96666666666668,1.0,3.9034968826240166,8.69341284901057,3.8465708864190833,0.05692599620493333,0.4490177736202058,0.5052301255230125,0.3659528327460016,0.0,1.0978584982380046,0.4090909090909091,0.8378378378378378,0.12198427758200052,0.7075208913649025,0.3333333333333333,0.09375,0.04791666666666667,0.8583333333333333,47.95918367346938,44.89795918367347,32.6530612244898,73.46938775510205,46.93877551020408,70.0,79.56989247311827,42.857142857142854,73.46938775510205,73.46938775510205,38.26530612244898,54.08163265306123,49.744897959183675,67.4945139346061,54.42176870748299,48.12925170068027,54.08163265306123
Farid Basharat,Men’s Bantamweight,7,94.25,1.0,3.9363395225464193,7.681697612732095,3.4694960212201593,0.46684350132625996,0.5124309392265194,0.6088516746411483,0.0,0.0,3.660477453580902,0.35384615384615387,0.5454545454545454,0.3183023872679045,0.7692307692307693,0.0,0.09433962264150944,0.07547169811320754,0.8301886792452831,61.224489795918366,71.42857142857143,84.6938775510204,22.448979591836736,90.81632653061224,58.88888888888889,30.107526881720432,59.183673469387756,77.55102040816327,73.46938775510205,73.46938775510205,41.83673469387755,59.94897959183673,64.34094067734621,75.85034013605441,77.2108843537415,41.83673469387755
Raoni Barcelos,Men’s Bantamweight,8,106.73333333333333,1.0,3.532167395377889,6.820737039350406,3.0637101811367895,0.46845721424109943,0.5178571428571429,0.5922693266832918,0.1405371642723298,0.4216114928169894,3.232354778263585,0.2839506172839506,0.8518518518518519,0.8432229856339788,0.7885714285714286,0.5,0.19363395225464192,0.09018567639257294,0.7161803713527851,62.244897959183675,72.44897959183673,78.57142857142857,50.0,86.73469387755102,37.77777777777778,82.79569892473118,78.57142857142857,80.61224489795919,20.40816326530612,26.530612244897956,30.612244897959183,65.81632653061224,71.9801038695048,81.97278911564626,41.836734693877546,30.612244897959183
Bryce Mitchell,Men’s Bantamweight,8,89.5,1.0,2.122905027932961,3.7206703910614527,1.541899441340782,0.581005586592179,0.5705705705705706,0.5818181818181818,0.1675977653631285,0.670391061452514,3.016759776536313,0.3103448275862069,1.0,0.5027932960893855,0.862496555524938,1.0,0.20526315789473684,0.11578947368421053,0.6789473684210526,64.28571428571429,91.83673469387756,75.51020408163265,52.04081632653062,84.6938775510204,43.333333333333336,96.23655913978494,67.3469387755102,87.75510204081633,12.24489795918368,5.612244897959177,7.142857142857142,70.91836734693878,78.00471801623875,79.93197278911565,31.122448979591834,7.142857142857142
Cory Sandhagen,Men’s Bantamweight,8,169.13333333333333,1.0,4.251083957430036,9.678754434371305,3.5593220338983054,0.6917619235317307,0.4392180818570556,0.525236593059937,0.0,0.1773748521876232,1.330311391407174,0.3191489361702128,0.5365853658536586,0.0886874260938116,0.6176066024759285,0.0,0.10570236439499305,0.03337969401947149,0.8609179415855355,67.3469387755102,36.734693877551024,44.89795918367347,22.448979591836736,53.06122448979592,46.666666666666664,28.49462365591398,39.795918367346935,64.28571428571429,37.755102040816325,73.46938775510205,65.3061224489796,42.85714285714286,48.12705727452271,52.38095238095239,52.04081632653061,65.3061224489796
