event_name,event_date,location,fight_url,division,method,round,time,sig_str_landed,sig_str_attempted,total_str_landed,total_str_attempted,td_landed,td_attempted,control_seconds,head_landed,head_attempted,body_landed,body_attempted,leg_landed,leg_attempted,distance_landed,distance_attempted,clinch_landed,clinch_attempted,ground_landed,ground_attempted,r1_sig_str_landed,r1_sig_str_attempted,r1_td_landed,r1_td_attempted,r1_kd,r1_sub_att,r1_control_seconds,r2_sig_str_landed,r2_sig_str_attempted,r2_td_landed,r2_td_attempted,r2_kd,r2_sub_att,r2_control_seconds,r3_sig_str_landed,r3_sig_str_attempted,r3_td_landed,r3_td_attempted,r3_kd,r3_sub_att,r3_control_seconds,r4_sig_str_landed,r4_sig_str_attempted,r4_td_landed,r4_td_attempted,r4_kd,r4_sub_att,r4_control_seconds,r5_sig_str_landed,r5_sig_str_attempted,r5_td_landed,r5_td_attempted,r5_kd,r5_sub_att,r5_control_seconds,fighter,fighter_url,opponent,opponent_url,result,kd,sig_str,td,sub_att
,2010-01-02,"Las Vegas, Nevada, USA",mirror:163d45df7d9c57e10c75dbf9a0623483647d196f,Men’s Lightweight,Submission,1,3:05,15,34,18,37,0,0,6,12,30,2,2,1,2,5,19,10,15,0,0,15,34,0,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Cole Miller,http://ufcstats.com/fighter-details/282fa667ff9c51ed,Dan Lauzon,http://ufcstats.com/fighter-details/4c8d6fde2dde07c4,W,0,15,0,1
,2010-01-02,"Las Vegas, Nevada, USA",mirror:163d45df7d9c57e10c75dbf9a0623483647d196f,Men’s Lightweight,Submission,1,3:05,10,24,13,27,1,1,46,8,21,2,3,0,0,6,14,4,8,0,2,10,24,1,1,1,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Dan Lauzon,http://ufcstats.com/fighter-details/4c8d6fde2dde07c4,Cole Miller,http://ufcstats.com/fighter-details/282fa667ff9c51ed,L,1,10,1,0
,2010-01-02,"Las Vegas, Nevada, USA",mirror:61cf978339c39c9bca0f70574c9b02c1b2e1dde5,Men’s Light Heavyweight,Decision - Unanimous,3,5:00,12,66,21,78,8,16,434,11,65,1,1,0,0,6,56,5,9,1,1,5,34,4,4,0,0,193,3,16,3,7,0,0,179,4,16,1,5,0,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Rashad Evans,http://ufcstats.com/fighter-details/ee779c43a8926d52,Thiago Silva,http://ufcstats.com/fighter-details/2924886ee9c4c527,W,0,12,8,0
,2010-01-02,"Las Vegas, Nevada, USA",mirror:61cf978339c39c9bca0f70574c9b02c1b2e1dde5,Men’s Light Heavyweight,Decision - Unanimous,3,5:00,31,84,67,122,0,0,14,15,63,10,14,6,7,20,55,11,29,0,0,10,32,0,0,0,0,6,8,16,0,0,0,0,0,13,36,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Thiago Silva,http://ufcstats.com/fighter-details/2924886ee9c4c527,Rashad Evans,http://ufcstats.com/fighter-details/ee779c43a8926d52,L,0,31,0,0
,2010-01-02,"Las Vegas, Nevada, USA",mirror:9cd7b0f69d804deae84881e76a3904512dfd36f5,Men’s Welterweight,KO/TKO,2,0:22,15,39,30,56,2,2,278,13,37,2,2,0,0,2,8,3,5,10,26,9,22,2,2,0,0,273,6,17,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Jake Ellenberger,http://ufcstats.com/fighter-details/d81ac739417d7f53,Mike Pyle,http://ufcstats.com/fighter-details/f5990c11974d8e9c,W,1,15,2,0
,2010-01-02,"Las Vegas, Nevada, USA",mirror:9cd7b0f69d804deae84881e76a3904512dfd36f5,Men’s Welterweight,KO/TKO,2,0:22,5,8,29,34,0,1,0,3,6,1,1,1,1,2,5,2,2,1,1,4,7,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Mike Pyle,http://ufcstats.com/fighter-details/f5990c11974d8e9c,Jake Ellenberger,http://ufcstats.com/fighter-details/d81ac739417d7f53,L,0,5,0,1
,2010-01-02,"Las Vegas, Nevada, USA",mirror:b5d2ed4f7aef0a022a6109907d233445a72cafbd,Men’s Lightweight,Decision - Unanimous,3,5:00,26,81,33,89,4,16,159,23,78,1,1,2,2,17,67,4,8,5,6,10,30,2,5,0,1,69,9,20,1,5,0,0,44,7,31,1,6,0,1,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Joe Lauzon,http://ufcstats.com/fighter-details/3bad7ef643840f67,Sam Stout,http://ufcstats.com/fighter-details/501b07aec9b8fc2d,L,0,26,4,2
,2010-01-02,"Las Vegas, Nevada, USA",mirror:b5d2ed4f7aef0a022a6109907d233445a72cafbd,Men’s Lightweight,Decision - Unanimous,3,5:00,94,264,110,281,0,0,145,60,219,19,26,15,19,84,246,8,12,2,6,20,55,0,0,0,0,67,29,84,0,0,0,0,69,45,125,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sam Stout,http://ufcstats.com/fighter-details/501b07aec9b8fc2d,Joe Lauzon,http://ufcstats.com/fighter-details/3bad7ef643840f67,W,0,94,0,0
,2010-01-02,"Las Vegas, Nevada, USA",mirror:b69879d97a2df383ff00ec0e91ad9a3e300137fd,Men’s Welterweight,KO/TKO,1,2:24,4,11,4,11,0,0,0,1,4,3,7,0,0,4,11,0,0,0,0,4,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Dustin Hazelett,http://ufcstats.com/fighter-details/a149d6bc670cdb60,Paul Daley,http://ufcstats.com/fighter-details/23725c826c481e7f,L,0,4,0,0
,2010-01-02,"Las Vegas, Nevada, USA",mirror:b69879d97a2df383ff00ec0e91ad9a3e300137fd,Men’s Welterweight,KO/TKO,1,2:24,8,20,8,20,0,0,3,4,11,0,0,4,9,5,17,0,0,3,3,8,20,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Paul Daley,http://ufcstats.com/fighter-details/23725c826c481e7f,Dustin Hazelett,http://ufcstats.com/fighter-details/a149d6bc670cdb60,W,1,8,0,0
